,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
278,The student answered 15 questions correctly., The student answered most of the questions correctly.,"[-1.162559    3.2310095  -0.22922818 ... -2.2647662  -1.7166938
  2.116925  ]","[-1.8690276   3.1324658  -0.44243294 ... -1.291611   -0.9103148
  0.65022874]"
279,The musician played 30 songs., The musician played a wide variety of songs.,"[ 0.3884588  -0.24335532 -1.5364822  ... -1.3220361   0.7119379
  1.6557156 ]","[-1.885817    0.1282976  -0.60148317 ... -1.690588    0.16295098
 -0.6486954 ]"
280,The company hired 75 employees., The company hired many employees.,"[ 0.50031805 -1.0873163   1.292238   ...  0.827395   -0.3295496
  2.4697793 ]","[-0.5702722   2.1815672   1.3092197  ... -0.59097314 -0.90241426
  3.2412987 ]"
281,The author wrote 7 chapters., The author wrote a large number of chapters.,"[ 1.953723   -2.308443    1.3994843  ... -2.0261397   0.7827878
  0.30655983]","[-0.12177214 -0.7361503   0.5513039  ... -1.89894     2.0260403
  1.2265793 ]"
282,The scientist conducted 20 experiments., The scientist conducted many experiments.,"[-0.4629781   0.8303809   2.0045166  ... -0.04190542 -3.7903476
  1.8362818 ]","[-1.044253    2.9367657   1.5037727  ... -0.15987875 -2.70593
  1.4216709 ]"
283,The baker sold 150 loaves of bread., The baker sold a very large quantity of bread.,"[-5.9417634  -2.240606   -0.39283147 ... -2.4926655  -1.6749579
  0.8743348 ]",[-3.3295867 -0.2958525  1.8395946 ... -2.317984  -0.7775032  2.1636176]
284,The store had 40 apples., The store had many apples.,"[-1.8446763  -4.574589    0.70259553 ...  1.4284168  -3.4121578
 -1.5930886 ]","[-1.830099   -2.8088734   2.9674413  ...  0.07531452 -0.79982686
 -0.7237692 ]"
285,The park contained 200 trees., The park had a large number of trees.,"[ 0.7753007  -7.0185013  -0.13481593 ... -0.37115985 -1.5141339
  1.0385611 ]","[ 1.5561585  -4.024114    0.56142795 ... -0.93852985 -0.39123547
  0.48956314]"
286,The classroom held 40 students., The classroom was nearly full.,"[-3.8252432  -4.457441    0.829216   ... -0.19121787 -0.81831974
  2.8681316 ]","[-2.8723087  -3.5725548   0.7966189  ...  1.0102652   0.35985795
  4.2653556 ]"
287,The concert attracted 1500 people., The concert drew a massive crowd.,[-1.8202013 -3.569102   1.3464025 ...  0.6133155 -2.6484385  2.9623668],"[-0.95036083 -2.2856      0.1143493  ... -0.26904652 -1.7011312
  2.8448637 ]"
288,The museum displayed 150 artifacts., The museum displayed many artifacts.,"[-1.8695619  -3.554486    0.25149277 ... -0.45169866  0.64572227
  2.9005995 ]","[-2.359361   -1.4048252   0.29885456 ... -1.3840526   0.78209275
  1.5996529 ]"
289,The library held 10000 books., The library housed a vast collection of books.,[-3.1323395 -6.3617063 -0.6635451 ...  0.6447306 -1.7885518  4.8580103],"[-1.4844083  -1.8182561   1.7597129  ...  0.04440438  2.0442057
  1.3710246 ]"
290,The restaurant served 300 customers., The restaurant served many customers.,[-1.0187774 -6.6818213  0.6821217 ...  0.7250217 -2.0383162  2.6643534],[-2.2036228 -2.6455312  1.921864  ... -1.7291158 -1.6562079  2.9285176]
291,The school enrolled 1000 students., The school enrolled a large number of students.,"[-1.8808022  -4.413082    1.4855353  ...  0.09104174 -5.208965
  3.3424308 ]",[-2.5135965 -1.2382661  2.321657  ... -0.9796678 -4.4930716  3.7297602]
292,The city had 3 million residents., The city had a very large population.,[-3.7882783 -2.364404  -1.2409294 ...  0.6557824 -3.1989594  2.3351808],"[-1.5075476  -0.62729853  1.831741   ...  0.2853431  -2.1852477
  1.4837158 ]"
293,The company produced 10000 products., The company produced a huge number of products.,"[-2.1067827  -0.11653946  1.2610132  ... -1.7408462  -3.9372292
  2.5348692 ]","[-1.4910846   2.0859325   1.5209336  ... -2.1555178  -0.34922898
  2.1931205 ]"
294,The farm raised 3000 chickens., The farm raised a massive flock of chickens.,[-2.456099  -1.6556307  1.6383553 ... -2.2373364 -0.5478225  1.4698975],"[-2.0511947   0.21425211  0.70387006 ... -2.7090366   0.09800225
  2.2175667 ]"
295,The shop sold 200 hats., The shop sold many hats.,"[-1.753324   -4.475051    0.620177   ... -0.18866867 -1.8897923
  1.6968886 ]","[ 0.48075154 -0.6910704   2.8966782  ... -2.5046592  -0.74555373
  2.0944645 ]"
296,The factory produced 5000 cars., The factory produced a large number of cars.,[-2.4386067 -2.7718494 -1.1997283 ... -3.139686  -5.517367   2.1655965],"[-2.3128395   1.7426335  -0.01233617 ... -3.282936   -2.3033419
  2.342548  ]"
297,There were 200 birds singing in the trees., There was a chorus of birds singing in the trees.,[-3.682573  -1.7566291  0.4760603 ... -1.7184739 -1.9602057 -0.8700548],"[-0.78903955 -1.0671294  -1.0353144  ... -0.857171    0.28456527
  1.3730989 ]"
298,I baked 30 cookies for the party., I baked many cookies for the party.,"[-1.9034045  -1.6942002   0.46399346 ... -3.825594   -1.172669
  3.240971  ]","[-1.7325155   0.6050878   0.9647261  ... -4.422191    0.61860514
  3.661889  ]"
299,She read over 50 books this year., She read a vast number of books this year.,"[-2.1129882  -1.742349    0.7223094  ... -2.1081474   0.04625776
  3.9230251 ]","[-2.647807    0.23586659  1.8284601  ... -1.720876    0.77418053
  2.8303828 ]"
300,He wrote approximately 100 pages of his novel., He wrote a substantial portion of his novel.,"[-1.8717074  -2.1276104   1.1486083  ... -1.2151068   1.7260412
  0.42811152]","[-1.1185006  -0.4808517   0.34978956 ... -1.8355937   1.9087421
  0.9785926 ]"
301,There were at least 40 cars in the parking lot., The parking lot was nearly full of cars.,"[-4.512425   -4.9613423   0.3276472  ...  0.05164214 -2.4147196
  1.859538  ]","[-1.9828322  -4.858033    1.5252606  ...  0.83013964 -0.6142722
  2.8836572 ]"
302,I saw more than 30 squirrels in the park., I saw numerous squirrels in the park.,"[-2.1514564  -4.4083595   0.62331873 ... -2.5924296   0.71263516
  1.1281132 ]",[-1.7320526 -4.043062   0.6882552 ... -2.9719434  1.2218181  1.1051112]
303,She collected around 75 stamps., She has a sizeable stamp collection.,"[ 0.5760578  -0.5740702   0.9086392  ...  0.77403533  1.3730171
  1.6503451 ]","[-0.4849822   0.21118811  1.5457984  ...  0.3600785  -2.477457
  2.0983002 ]"
304,He planted close to 80 trees in the orchard., He planted a great many trees in the orchard.,"[-2.0869417  -0.62356573  1.0552158  ... -1.251252    1.6789737
  1.3193738 ]","[ 0.01749646  2.560268    1.1134626  ... -1.3448535   1.622096
  0.58292395]"
305,There were over 300 people at the concert., A huge crowd attended the concert.,[-2.9994793 -3.6364858  0.6980565 ... -0.476578  -2.1459365  1.9914612],"[-2.7602522   0.43617052 -0.24475615 ...  0.5713213  -0.88943166
  3.6702619 ]"
306,I answered 40 questions correctly on the test., I got most of the test questions correct.,"[-2.9815938  -0.06711821 -0.08140349 ... -2.6519816  -1.9864972
  1.257059  ]","[-2.0559797  -0.04618306  0.7464785  ... -0.53261137  0.44328582
  1.1323094 ]"
307,She baked about 70 cupcakes for the bake sale., She baked a large quantity of cupcakes for the bake sale.,[-1.5140945 -3.3186579  1.7795634 ... -2.511534  -1.0326573  2.8039274],[-1.2930403 -0.8237033  1.4826927 ... -2.9574614 -1.4553849  2.978584 ]
308,He spent roughly 20 hours working on the project., He devoted considerable time to the project.,"[-0.44929257 -1.7664601  -0.39439    ...  0.49392653  2.286527
  1.264664  ]","[-0.6366628   1.1038625   0.089989   ...  0.21383609  1.07144
  1.2543473 ]"
309,There were nearly 150 stars visible in the clear night sky., Countless stars were visible in the clear night sky.,[-3.8963404 -3.6753879  0.9276699 ... -0.4626222 -1.7077347  1.1478456],"[-2.813391   -1.4006547   1.013981   ... -0.2889028  -1.7824496
 -0.37610742]"
310,I bought more than 10 pairs of shoes last year., I bought several pairs of shoes last year.,"[-1.5977213  -2.1049364   1.6371531  ... -2.0542438  -0.26246384
  2.0864475 ]",[-2.026042  -3.1113307  1.4500439 ... -2.2334292 -0.5930383  1.8991055]
311,She wrote at least 20 poems., She wrote many poems.,"[-0.83204    -2.4902856  -0.06125091 ... -0.7563665  -0.543298
  1.5387374 ]","[-1.2816749   2.1543574  -0.2999795  ... -1.8492578  -0.45757943
  1.4581867 ]"
312,He planted approximately 15 flowers in his garden., He planted a few flowers in his garden.,"[-0.8054791  -0.9334103   0.6221178  ... -0.6560395  -0.12534946
  3.042547  ]","[ 0.74276185  1.0271776   0.6290105  ... -0.36552152  0.43740475
  2.95625   ]"
313,There were close to 150 students in the large lecture hall., The lecture hall was packed with students.,"[-4.918722   -4.5695934   0.66293335 ...  0.87990355 -1.0901401
  2.926136  ]","[-3.7337813  -3.127276   -0.03371316 ...  1.6235628  -0.0106205
  3.937654  ]"
314,I now own 8 dogs., I own several dogs.,"[-0.30177298 -2.5530221   0.11043358 ... -1.3890806   0.1574684
  2.1622968 ]","[-0.10294285 -1.0053685  -0.20011881 ... -2.073297   -1.1550199
  2.6208901 ]"
315,She read almost 30 books during her vacation., She read a significant number of books during her vacation.,"[-1.4534992  -2.430964    1.3529173  ... -0.34647802  0.7815084
  4.7014885 ]","[-0.92799264 -0.88373923  0.77958626 ... -1.6843044   0.6076511
  3.5360982 ]"
316,He wrote around 25 essays for his college application., He wrote many essays for his college application.,"[-2.0864718  -0.32428813 -0.20640141 ... -2.3555841   0.52030706
 -0.08147678]","[-1.9028516   3.4111838  -0.99218655 ... -3.2828557   0.3393048
 -0.10533873]"
317,There were approximately 175 chairs in the large auditorium., There were ample chairs in the large auditorium.,"[-4.4077616e+00 -5.5492072e+00 -1.2589863e-03 ...  1.0252497e+00
 -1.3430198e-01  1.6392401e+00]","[-3.4560456  -5.680628    0.88665164 ...  1.1727227   0.9038479
  2.379543  ]"
318,I ate over 20 slices of pizza at the party., I ate a large quantity of pizza at the party.,[-3.3437116 -3.050489   2.1171489 ... -2.7143734  0.2860657  4.0266266],[-3.5696206 -1.2886438  2.5678847 ... -1.9531251  0.6591353  3.7456388]
319,She drank more than 15 cups of coffee yesterday., She drank an excessive amount of coffee yesterday.,[-2.1090577  2.0471146  3.965133  ... -2.3615832  1.7527208  4.5874257],[-2.1417258  2.4159846  3.439609  ... -3.1619806  2.6839268  5.638019 ]
320,He spent about 35 hours working overtime this week., He worked a significant amount of overtime this week.,"[ 1.01183    -2.0114963   0.8097411  ... -0.14343974  1.3137419
  1.2804548 ]","[ 0.602684   -2.7397614   1.1317986  ... -1.348871    0.04646962
  2.6213744 ]"
321,There are roughly 100 houses on this street., There are approximately 100 houses on this street.,"[-3.2350042  -6.2636223   1.0855372  ...  0.20641887 -1.9236156
  0.8226053 ]","[-3.141988   -4.6200113   1.4641099  ...  0.45131543 -2.1224787
  1.4439774 ]"
322,I have at least 20 pens., I have many pens.,"[-2.146225   -4.2639003   0.79926836 ... -0.8397976  -0.54618764
  2.0915751 ]",[-1.3802323  2.1364431  1.359572  ... -0.9311024 -1.3963549  1.7822056]
323,She bought close to 25 dresses last season., She bought many dresses last season.,"[-0.8293925  -2.2052195   0.762113   ... -1.4717884   0.09343221
  2.462676  ]","[-0.4024896  -1.1638271   0.01070312 ... -2.6151521  -2.9754837
  0.47688827]"
324,He read over 30 articles on the subject., He read a considerable number of articles on the subject.,"[-1.2163867   0.206213    0.14450425 ... -1.662616    0.44652197
  3.4296203 ]","[-2.2786996   0.56131166  0.81496775 ... -2.073235    0.51519585
  3.2340777 ]"
325,There are around 150 apples in this basket., There are a large number of apples in this basket.,"[-2.7611895  -3.762056    1.0827738  ... -1.2201052  -1.2069746
 -0.34316444]","[-2.0171516  -1.7570843   0.7765815  ... -1.5315915  -0.47928274
 -0.35081437]"
326,I ate nearly 15 slices of bread., I ate a large portion of bread.,"[-3.3467755  -0.18582551  2.1121092  ... -1.4812338   0.39916533
  2.5298128 ]","[-3.336616    0.29921618  2.5078156  ... -1.2046461   0.6626932
  2.443615  ]"
327,She drank approximately 20 cups of tea., She drank a lot of tea.,[-2.0476213  1.092109   3.5441918 ... -1.2049737  0.4393342  4.513013 ],"[-1.4772408   2.2656198   3.5739484  ... -2.5396533   0.76609707
  3.9856288 ]"
328,He wrote close to 30 songs., He has written a large number of songs.,"[-1.4877279  -1.5065527  -0.54522127 ... -1.2409003   3.23893
  1.3318173 ]","[-2.0813391   1.5036254  -0.41090518 ... -2.1904235   0.9920566
  2.323228  ]"
329,There were over 90 birds singing in the morning., A large flock of birds were singing in the morning.,"[-3.0056288  -3.3387816  -0.25781414 ... -1.8213263  -0.9476829
  0.7558184 ]","[-2.082318   -0.7689566   0.12047087 ... -1.1722627  -0.601115
 -0.30553854]"
330,I have almost 15 cats., I have many cats.,"[-1.0715331  -3.7143924   0.29063854 ... -0.4675712   0.04062582
  2.8558538 ]","[ 0.3844586   0.33893797  1.2542938  ... -1.0637941  -1.6109823
  3.2188287 ]"
331,She bought about 20 pairs of socks., She bought many pairs of socks.,"[-0.88976175  0.7834267   2.516093   ... -0.74350196 -1.5303774
  2.2955742 ]","[ 0.24190848  1.3435408   2.8052564  ... -1.70134    -1.9847437
  1.4778156 ]"
332,He read at least 10 chapters of the book., He read a good portion of the book.,"[-1.69098    -1.2978535   0.35660696 ...  0.08442638  1.4377362
  4.8860927 ]","[-1.904096   -0.4439241  -0.75789404 ... -0.2722591   1.4039934
  3.6570044 ]"
333,There are more than 120 fish in the pond., There are a lot of fish in the pond.,"[-2.8665006  -3.175693    0.17299178 ... -0.1132504  -0.26855728
  1.4504884 ]",[-2.8096452 -1.8474995  0.6333726 ...  0.3825944 -1.6289842  2.7997122]
334,I ate over 25 bowls of soup., I consumed a large amount of soup.,"[-1.9120592  -1.9356982   0.69571316 ... -2.4668794  -0.19544004
  3.7300804 ]",[-2.691341   1.4167957  2.8347142 ... -1.0537419  0.9140276  2.605495 ]
335,She drank around 22 bottles of water., She drank a tremendous amount of water.,"[-2.0100198   0.18964806  3.6670537  ... -0.54914385  1.486109
  2.9367442 ]",[-1.7592376  3.0383759  2.3057652 ... -1.9597163  1.6076016  3.9144   ]
336,He wrote approximately 35 essays., He wrote many essays.,"[-2.1509447  -1.6773182   0.12542672 ... -1.5250316   1.4017539
 -0.13384649]",[-2.689038   2.9082592 -0.6280035 ... -3.0723891  1.4589605  1.4158866]
337,There are at least 200 houses on this street., Many houses are situated on this street.,"[-3.3543692  -5.573432    0.95206153 ...  0.56685674 -1.833379
  1.9931341 ]","[-2.0524402  -4.4769096   2.9462585  ...  0.12844236 -2.5421865
  1.8128229 ]"
338,I have more than 25 cats., I have a large number of cats.,"[-1.6089537  -3.2735481   0.8168749  ... -0.9035157  -0.75088596
  2.1299498 ]","[ 0.11582384 -1.8320861   0.93594396 ... -0.4005334  -1.5611211
  1.6723175 ]"
339,She bought about 15 pairs of pants., She bought some pairs of pants.,"[-0.46568966  0.60362977  2.0402422  ... -1.1593201  -1.634618
  2.1969066 ]","[ 1.6054586  -0.02462734  2.3287864  ... -1.0948349  -2.6934006
  1.3991436 ]"
340,He read more than 20 novels., He has read many novels.,"[-2.349307    0.09453612  0.48409668 ... -0.43677732  1.5466316
  2.4386172 ]","[-2.8666852   2.9919186   1.0803568  ... -0.80862665  0.5730117
  3.421231  ]"
341,There are approximately 400 books on the shelf., There are numerous books on the shelf.,"[-5.342005   -2.8998413   0.23698114 ...  0.93135613 -0.5672436
  1.2527887 ]","[-3.5280914  -1.3914356   0.8538263  ... -0.17914435  0.47277597
  3.483143  ]"
342,The team scored at least 9 goals., The team scored many goals.,[ 1.1417136 -1.7791094 -0.5440269 ... -3.750013  -3.3349905  5.4290075],[ 2.1244922  1.375748  -0.5513472 ... -3.659395  -3.6315594  5.825854 ]
343,The chef prepared over 40 dishes., The chef prepared a wide array of dishes.,"[-2.0233355  -1.0161947   0.42387554 ... -0.9229768  -2.5358856
  2.0035818 ]","[-2.376082   -2.1105509   0.55096537 ... -1.4032857  -1.0835028
  1.04292   ]"
344,The store sold more than 80 shirts., The store sold a significant number of shirts.,"[-0.86248386 -1.5800651   2.0892425  ...  0.5699185  -2.352427
  0.31749827]","[-0.52023345 -3.3225732   2.5519981  ... -0.39750704 -1.70122
  1.9352665 ]"
345,The garden contains about 20 roses., The garden has a lot of roses.,"[-1.4076422  -2.1569152   0.16656877 ... -0.13857602 -3.0715494
  1.8701155 ]","[ 1.2171397  -2.4559484  -0.09744942 ...  0.12632601 -2.5312476
  2.230188  ]"
346,The library has over 7000 books., The library houses a vast collection of books.,"[-3.1303523  -3.642121    0.66681576 ... -0.42050183 -1.632022
  2.6962729 ]",[-2.5468187 -1.4999107  1.8738545 ... -0.3636854  1.2427573  2.245303 ]
347,The artist painted approximately 50 pictures., The artist created many paintings.,"[-2.3783998  -3.9452078   1.8608159  ... -0.74742424 -1.6040053
  0.15676612]","[-1.0506824  -0.20334594  0.69765306 ... -1.8806075   0.39599013
  0.7119518 ]"
348,The farmer harvested more than 200 bushels of wheat., The farmer had a very large wheat harvest.,[-4.2180104  2.9161522  1.7690916 ... -2.6838725 -2.5680983 -1.4489206],[-0.8225227  2.0984948  1.8892051 ... -1.7264491 -0.3800743  1.4710238]
349,The teacher assigned about 25 problems., The teacher assigned numerous problems.,[-2.1014802 -1.3217889  2.6684449 ... -1.148747  -0.8907126  1.7352812],"[-1.2889881   0.1579818   2.648476   ... -1.6872464  -0.27632508
  1.5901905 ]"
350,The student answered more than 18 questions correctly., The student performed well on the test.,"[-1.5812764   3.0606425  -0.79116285 ... -2.1961462  -1.5984532
  0.7689592 ]","[-0.02467698  3.1275065   0.8467423  ... -3.7543812  -2.0480254
  1.5715137 ]"
351,The musician played at least 40 songs., The musician played many songs.,[-0.5571373 -1.5802726 -1.3077333 ... -0.5621347  0.4592778  1.399288 ],"[-1.2911866   2.3364353  -1.2712231  ... -1.9620148   0.13738944
  0.9146669 ]"
352,The company hired approximately 100 employees., The company hired many employees.,"[-0.10467474 -0.8437673   1.550945   ...  0.40854082 -0.9892478
  2.204699  ]","[-0.5702722   2.1815672   1.3092197  ... -0.59097314 -0.90241426
  3.2412987 ]"
353,The author wrote around 9 chapters., The author wrote several chapters.,"[-0.12904605 -2.6531267   1.5232319  ... -1.0928208   0.7259526
  0.5707429 ]",[ 0.7101614 -1.9042295  0.4178494 ... -1.7827978  1.1608295  1.6214818]
354,The scientist conducted over 30 experiments., The scientist conducted numerous experiments.,"[-0.43690702 -0.09605709  1.551932   ... -0.5850968  -2.6419878
  1.0159029 ]","[-0.6158322   2.5400665   1.7273269  ...  0.21494906 -2.2430086
  1.4617163 ]"
355,The baker sold more than 175 loaves of bread., The baker sold a large quantity of bread.,"[-4.584611   -0.9344019   0.332483   ... -2.4939446  -1.6412069
  0.13470243]","[-3.644456   -1.0749192   1.5706389  ... -2.7350988  -0.75088686
  1.5954822 ]"
356,The store had approximately 50 apples., The store had many apples.,"[-2.92579    -4.333102    1.9636701  ...  1.5041145  -0.64236605
 -0.424252  ]","[-1.830099   -2.8088734   2.9674413  ...  0.07531452 -0.79982686
 -0.7237692 ]"
357,The park contained over 250 trees., The park had a large number of trees.,"[ 0.16319062 -6.050261    1.1637641  ... -0.77015245 -0.50327504
  1.1575959 ]","[ 1.5561585  -4.024114    0.56142795 ... -0.93852985 -0.39123547
  0.48956314]"
358,The classroom held about 45 students., The classroom was quite full.,[-4.3885913 -3.6156142  1.4521594 ...  0.1377634 -0.7380853  2.7241752],[-2.3916302 -4.295095   1.1793872 ...  0.5536104 -1.1108929  3.9609528]
359,The concert attracted more than 2000 people., The concert was very well-attended.,[-2.5386503 -2.1703937  1.3566056 ...  0.1643513 -1.303896   2.1933155],"[ 0.22176239 -2.0223598   0.5247267  ... -0.9564278  -1.4908698
  2.6405463 ]"
360,The museum displayed approximately 200 artifacts., The museum displayed many artifacts.,"[-2.818088   -3.3976173   0.6724626  ... -0.2150305   0.82225645
  1.880936  ]","[-2.359361   -1.4048252   0.29885456 ... -1.3840526   0.78209275
  1.5996529 ]"
361,The library held over 12000 books., The library had a vast collection of books.,"[-4.0265117  -5.8998733   0.99687314 ... -0.6025317   0.5554627
  4.261873  ]","[-2.3483472  -2.074343    1.5052797  ...  0.27982768  2.1981456
  1.3858614 ]"
362,The restaurant served about 400 customers., The restaurant served many customers.,"[-1.1421093  -5.151648    1.3407162  ... -0.04601299 -1.3944458
  2.716777  ]",[-2.2036228 -2.6455312  1.921864  ... -1.7291158 -1.6562079  2.9285176]
363,The school enrolled over 1500 students., The school had a large student body.,[-2.197198  -3.3006136  2.9478953 ... -0.88337   -4.669394   3.1930757],[-2.4478085 -2.2702305  2.1195626 ... -1.0068198 -4.700807   2.7090657]
364,The city had approximately 4 million residents., The city had a large population.,"[-3.336961   -1.5503174   0.33198217 ...  0.736175   -1.4878535
  2.2378302 ]","[-1.4401858  -0.10446655  1.6950117  ...  0.2685414  -1.5771236
  1.6757096 ]"
365,The company produced over 15000 products., The company produced a huge number of products.,"[-1.7288942  -0.49500692  1.1913561  ... -1.8395735  -1.3265203
  1.7236859 ]","[-1.4910846   2.0859325   1.5209336  ... -2.1555178  -0.34922898
  2.1931205 ]"
366,The farm raised more than 4000 chickens., The farm raised a large flock of chickens.,"[-2.6955204  -0.19772112  2.01039    ... -2.081806   -0.4300051
  0.9478921 ]","[-1.9390212  -0.19436526  0.92106086 ... -2.9090557  -0.39852396
  2.5344148 ]"
367,I saw over 40 squirrels scampering in the park., I saw numerous squirrels in the park.,"[-2.3458927  -4.934829   -0.16353106 ... -2.7695408   0.4965456
  1.8184631 ]",[-1.7320526 -4.043062   0.6882552 ... -2.9719434  1.2218181  1.1051112]
368,She collected nearly 100 stamps., She has a very large stamp collection.,"[ 0.3003587  -0.21033399  0.7612401  ...  0.74974597  1.4103024
  2.3654754 ]","[-0.16496903  0.7557734   1.6240802  ... -0.13848065 -2.5234103
  1.6383739 ]"
369,He planted approximately 90 trees on his property., He planted a significant number of trees on his property.,"[-2.4472885  -0.63197875  1.0125346  ... -1.1535614  -0.40629846
  2.1389003 ]","[-1.1160771   1.3092675   0.51675665 ... -1.3519205   0.37444937
  0.93843275]"
370,There were more than 400 people attending the conference., The conference had a large attendance.,"[-3.9458196  -2.7864764   0.40397686 ... -0.33717626 -0.7499251
  1.3244706 ]","[-2.1689742  -2.965287    0.17646432 ... -1.1631628  -0.700322
  2.1338465 ]"
371,I answered at least 50 questions correctly on the exam., I answered a majority of the questions correctly on the exam.,[-3.0888662 -1.1651449 -0.1398956 ... -2.2052116 -1.420583   1.4358951],"[-3.1350956  -0.36304379 -1.016925   ... -2.1754446  -0.3889366
  0.840115  ]"
372,She baked around 80 cupcakes for her daughter's birthday., She baked a lot of cupcakes for her daughter's birthday.,"[-0.43588468 -3.8085527   0.4116409  ... -3.6027503  -1.0800564
  3.53046   ]",[ 0.5327207 -1.0670065  0.7395084 ... -4.254642  -1.1738418  3.4465811]
373,He spent over 30 hours working on his presentation., He dedicated many hours to his presentation.,"[-0.42422724 -0.83885354 -0.55194336 ...  0.03930902  1.4299889
  1.8313268 ]","[-0.32291853  2.0056896  -1.0360619  ... -0.73578733  0.6782269
  1.0503966 ]"
374,There were nearly 200 stars visible in the night sky., Countless stars were visible in the night sky.,"[-4.399825   -3.1515467   0.9060583  ... -0.08423926 -1.2529215
  1.2424549 ]","[-3.025364   -0.9457917   1.2016058  ...  0.21230038 -1.3755991
 -0.5537151 ]"
375,I bought more than 12 pairs of shoes this year., I bought quite a few pairs of shoes this year.,"[-1.604182   -2.6039913   1.2227186  ... -2.0893378   0.20795242
  2.0677705 ]","[-2.0618865  -3.757144    0.675933   ... -1.2826395  -0.06545448
  1.7523258 ]"
376,She wrote over 25 poems., She wrote many poems.,"[-1.1560242  -1.5291222  -0.45392329 ... -1.290999   -0.73388606
  1.6415316 ]","[-1.2816749   2.1543574  -0.2999795  ... -1.8492578  -0.45757943
  1.4581867 ]"
377,He planted approximately 20 flowers in his garden., He planted some flowers in his garden.,"[-1.1949388  -0.979315    0.5771164  ... -0.3418213  -0.11378848
  3.0054853 ]","[ 0.16988452  1.6568127   0.6045065  ... -0.9758654   0.3044682
  3.3590822 ]"
378,There were close to 200 students participating in the event., Many students participated in the event.,"[-4.0988054  -4.1290884   0.8066273  ...  0.06815447 -1.4221208
  3.4650447 ]","[-1.5978086   0.57742196  0.6226284  ... -0.05659701 -3.4059205
  3.5721626 ]"
379,I have 10 dogs., I have many dogs.,"[-1.0991676  -3.4441714  -0.13678324 ... -0.8421119  -1.7917635
  1.9579991 ]","[-1.0173947   0.07476759  0.32251185 ... -0.90395606 -0.84728974
  2.3848557 ]"
380,She read at least 40 books last year., She read a lot of books last year.,"[-2.9275935  -1.2227496   0.60478896 ... -1.7862225  -1.3364452
  3.7173285 ]","[-2.718751    1.3671014   1.5174427  ... -3.2151067  -0.70610785
  3.5293236 ]"
381,He wrote over 30 essays for his application., He wrote numerous essays for his application.,"[-1.9773499   0.14445    -0.84833926 ... -2.5238872   0.52855784
  0.85402226]","[-0.74439955  3.273108   -0.8361972  ... -3.0065773   0.8146385
  0.54331696]"
382,There were approximately 250 chairs set up for the meeting., There were plenty of chairs for the meeting.,"[-3.6018066  -4.6636777   0.28724298 ...  0.44883722 -0.06178715
  1.2460748 ]","[-2.891711   -4.864921    1.4424858  ... -0.52148604  2.194845
  2.479752  ]"
383,I ate more than 25 slices of pizza., I ate a large amount of pizza.,"[-3.3502212  -0.05452054  2.350131   ... -2.3539429   0.61452
  2.7588568 ]",[-2.690904   0.7804825  2.4238994 ... -1.5710807  0.8127711  2.2963955]
384,She drank over 20 cups of coffee., She drank a lot of coffee.,"[-2.8205905   0.34233722  3.5697713  ... -2.0560117   1.4772028
  5.749909  ]",[-2.3866665  2.3655305  3.34852   ... -2.144767   1.5816345  4.020517 ]
385,He spent about 45 hours working this week., He put in many hours of work this week.,"[ 0.6193384  -2.0236208   0.833177   ...  0.15737858  1.5684235
  1.500902  ]","[ 0.67368656  0.1379718   0.5684428  ... -0.29418612  0.68615717
  1.3159626 ]"
386,There are roughly 150 houses on this street., There are many houses on this street.,"[-2.971056   -6.1760345   1.2901782  ...  0.17195176 -1.8288571
  0.87503225]","[-3.4025588  -3.950081    1.7707393  ...  0.29186413 -3.0449016
  1.7032181 ]"
387,I own at least 25 pens., I have many pens.,[-0.8624034 -3.120713   0.8271994 ... -1.4742559 -1.0177485  2.0896559],[-1.3802323  2.1364431  1.359572  ... -0.9311024 -1.3963549  1.7822056]
388,She bought close to 30 dresses., She bought a lot of dresses.,"[-0.4039633  -0.44878185  0.9657132  ... -0.27227208  0.97900796
  3.456749  ]","[ 0.53271574  0.72801906  0.5896503  ... -0.959486   -1.1693487
  2.0126312 ]"
389,He read approximately 40 articles., He read numerous articles.,"[-1.8433248  -0.13590084  0.41582415 ... -1.1110733   1.1104246
  2.5821583 ]","[-1.3528949   1.8756033   0.48813805 ... -1.366332    1.0652498
  3.4353795 ]"
390,There are around 200 apples in the crate., There are a lot of apples in the crate.,"[-2.807605   -3.4891188   1.0803937  ... -0.60732245 -0.7367675
 -0.7937929 ]","[-1.4119523  -1.7604469   0.41849357 ... -1.3891541   0.00518343
 -1.0718315 ]"
391,I ate nearly 20 slices of bread., I ate a substantial amount of bread.,"[-3.5188446  -0.26469743  2.008923   ... -1.1916417   0.37390798
  2.4789646 ]","[-1.9805641   0.64268637  1.8761828  ... -1.3341061   1.0755864
  1.742188  ]"
392,She drank close to 25 cups of tea., She drank a lot of tea.,[-2.3122783  0.5815349  3.5059855 ... -0.8284407  1.7840328  4.716349 ],"[-1.4772408   2.2656198   3.5739484  ... -2.5396533   0.76609707
  3.9856288 ]"
393,He wrote over 40 songs., He wrote many songs.,"[-1.714579   -0.6936686  -0.80223495 ... -1.9859579   1.721029
  1.1417129 ]",[-1.7914143  3.7132218 -1.1156237 ... -2.3146844  1.745944   1.1004755]
