,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
233,The glasses are on the nightstand,The glasses are on the bed.,"[-0.9328013   1.9218073   1.4977978  ... -1.8060207   0.67879546
  0.8982609 ]",[-0.5314433  4.4524856  3.2992566 ... -1.540807   0.6928282  1.8097823]
234,The remote control is on the nightstand,The remote control is on the floor.,"[ 1.6201105e+00  2.2189589e+00  1.3286942e+00 ... -1.6154647e-03
  8.7868130e-01  8.5780746e-01]",[1.9553571  4.1258984  2.0665307  ... 0.44803613 1.4214501  1.5223137 ]
235,The tissue box is on the nightstand,The tissue box is under the nightstand.,"[ 1.263478   -1.6125765   1.0380099  ...  1.0219575   0.31325185
  0.68205976]","[ 2.2893944  -0.72425365  1.7835113  ...  0.10992221  0.635792
  0.9436572 ]"
236,The water bottle is on the nightstand,The water bottle is on the floor.,"[ 1.5465009   1.2170615   1.5071826  ...  0.65181166 -0.80814075
  1.1785874 ]","[ 1.8680525   2.961747    3.3997092  ...  0.8520243  -0.38860756
  2.127598  ]"
237,The phone charger is on the nightstand,The phone charger is under the bed.,"[ 1.5719593   1.1049943   0.5539597  ...  0.49730405 -0.27452528
  0.79516315]",[2.3202577  4.14534    2.2938204  ... 0.6317647  0.15199561 1.3786765 ]
238,The reading lamp is on the nightstand,The reading lamp is on the floor.,"[-0.61765933 -1.7129214   0.75040287 ... -1.5986514   0.2785745
  0.85177535]","[-1.0328885  -0.29482508  2.0983357  ... -1.4650097   0.29150963
  1.1536692 ]"
239,The picture frame is on the nightstand,The picture frame is on the dresser.,"[-1.4985758  -4.4566383   0.69654316 ...  0.21684784  1.4991176
  1.0931966 ]","[-0.82017684 -3.6785295   0.90246606 ...  0.45290834  1.9856211
  0.90502733]"
240,The candle is on the nightstand,The candle is on the floor.,"[-1.6505816  -0.16697161  0.87525064 ...  0.10905676 -1.7944689
  1.3263191 ]","[-1.0948753   1.8699459   2.6726384  ...  0.61853653 -1.8439537
  2.4050674 ]"
241,The small vase is on the nightstand,The small vase is under the nightstand.,"[ 2.927681    0.04631078  0.23178771 ...  0.08724785 -0.21957642
  1.3958489 ]","[ 3.8036754   0.3775065   1.273771   ... -0.7101849   0.2209835
  0.73805034]"
242,The jewelry box is on the nightstand,The jewelry box is on the dresser.,[ 0.3693139 -2.413609   0.5296429 ... -1.16769    2.6687849  1.2181991],"[ 0.85308707 -1.7026666   1.091325   ... -0.87458694  2.6991324
  1.1519666 ]"
243,The bookends are on the nightstand,The bookends are on the floor.,[-1.2562984 -4.75636    0.5052971 ...  1.1534865  1.7750652  1.3014629],"[-0.88645864 -3.5042033   1.3377688  ...  1.2563033   2.7823212
  2.4588344 ]"
244,The notepad is on the nightstand,The notepad is under the nightstand.,"[ 2.8721552  -0.5575907  -0.4505602  ... -0.02280891  0.23749596
  0.46979898]","[ 3.813822    0.3837268   0.82737535 ... -0.36345172  0.74730057
  0.4526932 ]"
245,The pen is on the nightstand,The pen is on the floor.,"[ 1.853001    2.3806202   0.94256485 ... -0.71904194 -0.49449465
  1.2332604 ]","[ 2.3202853   5.2728376   2.9754066  ... -0.41609982 -0.30276778
  1.9476911 ]"
246,The apple is on the plate,The apple is beside the plate.,"[ 2.2526948   3.642704    1.6003923  ... -0.9759818   0.66822547
 -0.19780596]","[ 4.610495    3.5731413   2.7690291  ...  0.25055686  0.9223099
 -1.0063994 ]"
247,The orange is near the banana,The orange is far from the banana.,"[ 0.0534333   3.8086374   2.084871   ...  0.7995126  -0.30736253
  2.0816185 ]","[-0.6733775   3.2286472   1.8837483  ...  0.40405867 -0.4921517
  2.3913357 ]"
248,The grapes are in the bowl,The grapes are next to the bowl.,[-0.0979844  1.7602972  2.4718747 ... -0.3323764  1.1936241 -0.6447255],[2.3635993  2.6425238  4.1160316  ... 0.1515392  0.35416284 0.58818585]
249,The bread is on the counter,The bread is in the breadbox.,"[ 0.12699597  2.622318    0.9370881  ...  0.4500015  -0.24565554
  1.3450326 ]",[0.7324414  3.3749273  1.9536192  ... 0.8777816  1.6815631  0.71863884]
250,The milk is in the refrigerator,The milk is on the counter.,"[ 0.05894589  3.15117     2.5729456  ... -0.67250055 -1.1578758
  0.07641844]","[ 0.14063342  2.167312    4.302138   ...  0.17032154 -2.0075853
  0.6893822 ]"
251,The cheese is on the plate,The cheese is in the refrigerator.,"[-0.16622005  2.6415002   3.698878   ... -0.10473423 -0.33065042
 -0.34716797]","[ 1.0246158   3.8121874   3.7943404  ...  0.14525186  0.56620926
 -1.0858085 ]"
252,The butter is in the fridge,The butter is on the table.,"[-1.5760636   4.2880836   2.2352293  ... -1.9151388  -1.2343512
  0.86702293]",[-0.7082156  3.361553   2.783521  ... -1.1270417 -1.2978742  1.7606558]
253,The eggs are in the carton,The eggs are on the counter.,"[ 0.03208297  2.4474251   1.3427323  ... -0.28250864 -1.4071859
  1.4789275 ]",[ 0.081436   2.400666   0.5674283 ...  0.0585498 -1.7158451  1.7098333]
254,The juice is in the glass,The juice is on the table.,"[-2.256451    4.23858     2.4745452  ...  2.275692   -0.298874
 -0.46641853]",[-1.0066916  3.8891835  2.680809  ...  2.3183095 -0.854315   1.022498 ]
255,The cereal is in the bowl,The cereal is on the table.,[1.4033169 4.5927467 2.187323  ... 1.0582925 1.6885489 0.5673983],[1.1414378  3.4370418  3.1860707  ... 1.10478    0.78000957 1.7709833 ]
256,The coffee is in the cup,The coffee is spilled on the table.,[-2.0994356  3.4482262  3.4504392 ...  0.1553963  2.117957   2.3569534],"[-0.916674    3.3186684   3.133422   ... -1.620307    0.01683304
  5.861904  ]"
257,The tea is in the pot,The tea is in a mug.,"[-2.4484684   2.967137    2.969733   ...  0.21868093  0.12541075
  3.2758863 ]","[-1.5701963   3.0562384   4.0308676  ... -0.35203484  0.39551225
  4.5237308 ]"
258,The sugar is in the bowl,The sugar is on the table.,"[ 0.10385863  5.5986066   2.2632866  ...  0.25678638 -0.17488122
  1.6322161 ]",[0.25561813 4.438239   2.1586344  ... 0.7641625  0.49318385 2.3624084 ]
259,The salt is in the shaker,The salt is spilled on the table.,[-0.5502183  5.6218677  2.7055385 ...  0.7440036 -1.1486294  1.8907326],[ 0.717901   5.1148553  3.4495602 ...  0.5121395 -1.3619931  4.0258436]
260,The pepper is in the grinder,The pepper is on the table.,[-1.6180207  4.946635   3.0296707 ...  0.7948682 -1.5685668  2.827202 ],[-0.8126398  4.4696565  3.100818  ...  1.1617372 -1.545232   2.9397595]
261,The ketchup is in the bottle,The ketchup is on the plate.,[ 1.2707264  3.599217   2.472359  ...  2.3202794 -0.4108545  1.2128962],"[ 0.90453875  2.9549823   3.1978717  ...  2.018982   -0.8217433
  1.0398265 ]"
262,The mustard is in the jar,The mustard is on the table.,[-1.8598404  3.924504   3.721069  ...  0.846906  -1.8386054  2.782468 ],[-1.512861   3.0703354  3.2765346 ...  0.7817994 -1.8826765  2.7881982]
263,The mayonnaise is in the jar,The mayonnaise is on the sandwich.,[ 0.0060434  2.158386   0.8533647 ...  0.5386954 -0.9104783  1.1914258],[-0.7380547  1.426052   1.5095893 ...  0.7409162 -1.644731   1.3629898]
264,The lettuce is in the bag,The lettuce is on the counter.,"[ 1.3763145   2.2504559   0.66490006 ...  0.29653966 -2.2753487
  2.245176  ]","[ 1.3179806   1.8072022   0.91200733 ...  0.3072942  -2.5596845
  0.95424664]"
265,The tomato is in the bag,The tomato is on the sandwich.,"[ 0.2913598   2.778385    1.5087962  ...  0.03799911 -3.52646
  2.5212488 ]",[ 0.1396311  3.5535538  4.150161  ... -0.8687047 -3.317681   2.8859646]
266,The onion is in the bag,The onion is on the cutting board.,"[-0.40097848  2.898117    1.7958285  ...  1.6234287  -3.2199008
  4.3745594 ]","[-0.52708554  1.8455296   2.099154   ...  1.0988289  -3.4637094
  2.8612654 ]"
267,The carrot is in the bag,The carrot is on the counter.,"[ 0.6448437   4.104058    3.6943185  ...  1.4055597  -0.54825515
  3.2336435 ]",[ 1.2588795  4.0296216  3.0889113 ...  1.0823743 -0.6810052  2.1108701]
268,The potato is in the bag,The potato is in the pot.,"[-2.215789    4.3828697   0.91818714 ...  0.2992148  -1.9699894
  4.2470074 ]",[-2.7246385  4.810874   2.142924  ...  1.045412  -2.3280408  4.276077 ]
269,The broccoli is in the bag,The broccoli is on the plate.,"[-0.34254894  4.266891    1.6185547  ...  0.5764165  -1.8758836
  2.3421094 ]",[-1.3341571  3.7873769  2.7501807 ...  0.3838858 -2.2146916  1.4476613]
270,The cauliflower is in the bag,The cauliflower is on the plate.,[-0.7906599  3.0620735  1.3439711 ...  1.6908072 -1.2913209  2.017958 ],[-1.2766839  2.4791074  1.7073748 ...  1.0350729 -1.0722458  1.6485113]
271,The peas are in the bag,The peas are on the plate.,"[ 0.9039205   1.6209292   2.4761527  ...  0.79195356 -2.181555
  1.393455  ]",[ 0.284972   1.4798524  2.8503187 ...  0.673948  -2.548408   1.1909544]
272,The corn is in the bag,The corn is on the cob.,[-0.7223167  2.8453264  2.3481386 ...  2.458509  -1.0738298  1.8040996],"[-0.91880006  1.6816251   2.4928963  ...  2.072886   -2.2525969
  1.5521052 ]"
273,The beans are in the bag,The beans are in the pot.,"[-2.7731428   3.6820917   1.9700457  ... -0.65435416 -0.8399946
  1.6605406 ]","[-3.7266083   3.9422805   2.731708   ... -0.01126709 -1.3341713
  2.0142426 ]"
274,The rice is in the bag,The rice is in the pot.,"[ 1.3337673   5.5421576   1.5751357  ...  0.32690206 -0.9176679
  0.97839546]",[ 1.0081115  6.0381484  2.7346568 ...  1.4953867 -1.1846122  1.3224888]
275,The pasta is in the bag,The pasta is in the pot.,"[ 1.3991226   3.6200693   1.459278   ...  0.47956362 -0.8702856
  2.2106197 ]",[ 0.5994035  3.3971562  2.6556447 ...  0.6775621 -1.3788234  2.2826579]
276,The sauce is in the jar,The sauce is on the pasta.,[-1.0483917  3.132715   3.6336467 ...  0.781141  -2.3275783  2.5159538],"[-0.9740699   2.5543478   4.215015   ...  0.24189101 -3.6266797
  2.8053207 ]"
277,The cheese is in the bag,The cheese is on the pizza.,"[ 0.23838802  3.4460433   3.293814   ... -0.30624282  0.26799524
 -0.1082656 ]","[ 0.25956485  2.7679944   4.8042912  ...  0.03911863 -1.1519119
  0.50053394]"
278,The pepperoni is in the bag,The pepperoni is on the pizza.,"[-1.142131    1.8446862   3.515517   ...  1.7179136  -0.69506824
  1.4612986 ]","[-1.824629    1.4343737   3.6795518  ...  1.7787721  -1.1951193
  0.97742766]"
279,The mushrooms are in the bag,The mushrooms are on the pizza.,"[ 0.37112817  1.9116749   1.919314   ...  1.0878795  -1.218296
 -0.17681384]",[-0.4240032  1.3513587  2.9610302 ...  0.2246883 -2.6461685  0.6064471]
280,The olives are in the bag,The olives are on the pizza.,"[-0.42507425  1.4108107   0.612543   ...  1.8292665  -0.48269898
 -0.8939902 ]","[-0.8859728   0.96490794  1.6774104  ...  1.5398009  -1.7221806
 -0.1928316 ]"
281,The peppers are in the bag,The peppers are on the pizza.,"[-0.36449513  1.17315     1.6987058  ...  1.521881   -2.7699225
  1.936941  ]",[-1.0768162  1.5355532  2.6176655 ...  0.7249053 -3.8546283  2.62816  ]
282,The onions are in the bag,The onions are on the pizza.,"[-0.21733718  1.8594828   1.3588477  ...  1.0173918  -2.8539355
  2.6159582 ]","[-1.2060951   1.5805715   2.88404    ...  0.39099282 -3.5202413
  2.4927673 ]"
283,The spinach is in the bag,The spinach is on the pizza.,"[-0.13029408  2.8772843   1.7612149  ...  1.9464186  -2.7240288
  1.4703616 ]",[-0.3844293  2.1726453  2.433098  ...  1.3928277 -4.0948334  1.8585653]
284,The sausage is in the bag,The sausage is on the pizza.,"[-2.351341    4.277072    3.9452085  ...  0.7776487   0.20783032
  1.9259418 ]","[-3.051166    2.5271409   4.139749   ...  0.41993517 -0.87888134
  1.9435399 ]"
285,The bacon is in the bag,The bacon is on the pizza.,[-2.6168854  2.862944   3.6461952 ...  2.4073842 -0.9778161  1.7137332],[-3.2143435  1.6899929  4.579388  ...  1.509701  -2.562559   1.5885464]
286,The ham is in the bag,The ham is on the sandwich.,[0.30239442 4.7040296  2.486614   ... 0.33580494 1.4616061  0.55452013],"[-1.0255177   3.6504788   4.2881093  ...  0.13101718  0.02342589
  1.1469561 ]"
287,The turkey is in the bag,The turkey is on the sandwich.,[-2.4822848  3.6455     1.0820552 ... -1.7759572  1.5370239  1.8528236],[-3.6874778  2.256151   2.2284043 ... -1.996497   0.5096004  2.8911498]
288,The roast beef is in the bag,The roast beef is on the sandwich.,"[-3.6403983   1.8302946   1.4796219  ...  0.04705307 -0.6592259
  2.1760752 ]","[-4.738423    1.0832816   2.7411842  ... -0.12071472 -1.1821525
  2.144102  ]"
289,The chicken is in the bag,The chicken is on the plate.,"[-0.16614668  3.6515782   1.6445341  ...  0.96997404  0.20484595
  2.0271099 ]","[-0.82648045  3.1973882   2.1959798  ...  0.7356607  -0.34357324
  2.0764759 ]"
290,The fish is in the bag,The fish is on the plate.,"[-0.8549339   3.418482    2.2074015  ...  0.5346925   0.58624476
  3.0118504 ]",[-1.3178024  2.8950856  3.5074027 ...  0.7373563 -0.4175448  2.1583219]
291,The steak is in the bag,The steak is on the grill.,[-3.2639275  3.9507153  3.7497518 ...  0.599188  -0.8541185  3.4556186],[-4.606171   3.6458015  4.27993   ... -0.5657635 -2.3947413  2.919978 ]
292,The pork chop is in the bag,The pork chop is on the plate.,[-1.2453476  2.8517702  2.4996064 ...  1.3416786  1.0796896  2.5874693],[-2.1192267  2.1153007  2.9328353 ...  1.0117869  1.0404594  2.2673125]
293,The lamb chop is in the bag,The lamb chop is on the plate.,"[-1.3757812   0.15920295  2.3057802  ... -0.07592956 -0.6090008
  1.9131316 ]","[-2.3514426  -0.55789363  2.1470582  ... -0.32892597 -0.5416045
  1.462886  ]"
294,The shrimp is in the bag,The shrimp is on the plate.,"[-0.85106444  3.4669619   2.37057    ...  1.1645417   0.65227705
  1.9620336 ]","[-1.4863237   2.5111258   2.912493   ...  1.2110832   0.31182194
  1.7246877 ]"
295,The lobster is in the bag,The lobster is on the plate.,"[-1.1461091   3.483567    1.5231318  ... -0.24846806  1.0498925
  3.5165625 ]","[-2.184693    1.9332654   1.6535026  ... -0.3026731   0.39212212
  2.8953488 ]"
296,The crab is in the bag,The crab is on the plate.,[0.16091543 3.759694   2.0946822  ... 0.25762504 1.3812128  2.813853  ],"[-0.71516365  2.964653    2.186056   ...  0.32457152  1.0442833
  2.1806586 ]"
297,The clams are in the bag,The clams are in the pot.,"[ 1.1781867   1.9577507   2.2101262  ...  0.87857586 -0.13909125
  1.3954202 ]","[ 0.38050026  1.9830275   2.933172   ...  0.9722978  -0.54232883
  1.4354737 ]"
298,The mussels are in the bag,The mussels are in the pot.,"[-0.53730035  2.6983      2.4445803  ...  1.1245261  -0.92361987
  2.2418444 ]",[-1.3417176  2.5503922  3.0205326 ...  1.4019938 -1.5107118  2.185172 ]
299,The scallops are in the bag,The scallops are on the plate.,"[-1.126074    0.21542849  0.9383517  ...  0.3862674  -1.4832498
  1.2173481 ]","[-1.7140319   0.01297823  0.81016207 ... -0.05428247 -2.2440102
  1.1354858 ]"
300,The tuna is in the can,The tuna is on the sandwich.,[-1.2500409  4.441627   2.6110153 ...  1.3185936 -0.2583826  2.0354068],[-2.3601863  3.0716636  4.3652024 ...  1.0334519 -2.4633827  1.8765975]
301,The salmon is in the can,The salmon is on the plate.,"[-0.58971465  4.179961    2.9721692  ...  1.1312526  -0.49909243
  2.1282127 ]",[-1.5715431  3.088558   3.457985  ...  0.7044812 -1.5179319  1.2772912]
302,The bird is in the tree,The bird is on the tree.,"[-0.41674045  4.287413    2.8775628  ... -1.5341524  -0.2369519
  2.4388297 ]","[ 0.53665096  4.249461    2.9852583  ... -1.6762583  -1.0898803
  2.2003922 ]"
303,The cat is on the roof,The cat is near the roof.,"[ 5.347616    3.6080863   2.7681625  ...  0.48706308 -4.2064376
  3.9735515 ]","[ 5.6341105   3.7932308   3.8614001  ...  0.64848644 -3.074402
  4.2766623 ]"
304,The dog is under the table,The dog is beside the table.,"[ 3.5866697   5.336677    0.98286074 ... -1.8790294   0.19733356
  2.9835024 ]",[ 4.5517488  4.906581   1.9692317 ... -1.1126918  0.9233282  3.6273673]
305,The mouse is behind the wall,The mouse is in front of the wall.,"[ 4.355912    5.450804    1.3786588  ... -1.2683104  -0.12783684
  1.0790477 ]",[ 4.5319057  4.9869943  2.2583072 ... -1.4994875  1.1967566  2.164694 ]
306,The rabbit is in the hole,The rabbit is near the hole.,"[ 4.1796980e+00  3.7211616e+00  2.1111293e+00 ...  2.8556585e-04
 -2.3951664e+00  2.9272416e+00]",[ 4.5383043  4.422316   1.6206275 ... -1.1496218 -2.307419   2.7113712]
307,The squirrel is up the tree,The squirrel is down the tree.,"[ 0.95088357  1.4495243   3.431244   ... -3.0434682  -2.151989
  0.822712  ]","[ 2.265953    1.6700058   3.6995556  ... -3.1384902  -1.3625566
  0.45320982]"
308,The deer is in the forest,The deer is at the edge of the forest.,[ 1.73478    1.0328001 -1.1278268 ... -1.390635   1.048364   1.3007005],"[ 0.82365716  0.39927262 -0.28261375 ... -1.1690136   1.2652761
  1.6331314 ]"
309,The lion is near the watering hole,The lion is far from the watering hole.,"[ 0.72234625  4.935163   -0.45646277 ...  0.28361306 -0.3746387
  4.0880013 ]","[ 1.6263243   4.2122226   0.32681656 ... -0.25357524  0.23559093
  3.8464558 ]"
310,The elephant is in the savannah,The elephant is at the edge of the savannah.,"[ 0.4356823   1.9366884   2.454013   ... -0.47682604 -0.1985753
  3.8611717 ]","[-0.7827789   2.0091145   2.617428   ... -0.45718333  0.82950896
  3.692067  ]"
311,The monkey is in the jungle,The monkey is at the edge of the jungle.,"[ 1.5851432   4.6325817   2.4547539  ... -0.22796337  0.8027415
  2.961851  ]",[0.37042183 3.3864129  2.4911723  ... 0.02774862 1.8512619  2.4920144 ]
312,The zebra is in the herd,The zebra is near the herd.,"[-1.6371776   2.156054    1.7471396  ...  0.68149006 -0.5023549
  4.654369  ]","[-1.8310885   2.6522965   2.4756799  ...  0.6829411  -0.94804066
  4.8786736 ]"
313,The giraffe is near the acacia tree,The giraffe is far from the acacia tree.,"[-0.34403944  2.060575    3.5156453  ... -1.2444096  -2.1517653
  0.77791774]",[-0.0672669  1.3892169  3.8086214 ... -1.8147407 -2.3636248  0.9573736]
314,The hippopotamus is in the river,The hippopotamus is near the riverbank.,"[-2.4355822   1.6426129   2.4256082  ...  0.06923074  0.6325284
  3.2941139 ]","[-2.8881545   2.8257587   1.8471655  ...  0.92267245  0.63457733
  3.6522777 ]"
315,The rhinoceros is in the mud,The rhinoceros is near the watering hole.,"[-1.824864    1.9814105   0.89933777 ... -0.80161875  0.18018895
  2.4801848 ]","[-1.7531193   2.4711065   0.89923763 ...  0.36322585  0.40501165
  2.489107  ]"
316,The tiger is in the tall grass,The tiger is near the tall grass.,"[ 2.1868062   3.9288237   0.16711767 ... -0.14304236 -0.7925361
  4.855579  ]","[ 2.1416712   4.9159207   1.1394818  ... -0.34257048 -1.2957817
  4.610095  ]"
317,The bear is in the cave,The bear is near the cave entrance.,"[ 1.982469    3.7437465  -0.18911986 ... -0.9482371   3.9272602
  2.666847  ]","[ 1.9856758   3.8475637   0.48452193 ... -0.8234576   2.7484186
  2.8694773 ]"
318,The wolf is in the pack,The wolf is near the pack.,"[ 0.97800785  3.0181835  -0.97422194 ...  0.48654175  0.06968528
  2.771697  ]","[ 0.79653615  3.3226707  -0.01394912 ... -0.07032435  1.1239736
  2.8306897 ]"
319,The fox is in the den,The fox is near the den.,"[ 1.712062    2.1836004   0.02688392 ... -0.16911851 -0.5659532
  2.745179  ]","[ 2.1137395   2.7265162   0.5388044  ... -0.71476644 -0.21396746
  3.3010898 ]"
320,The owl is on the branch,The owl is under the branch.,"[-0.39867982  2.4529781   1.9909496  ... -1.7685121   0.6313822
  2.329369  ]","[ 0.93438375  4.90641     2.5378854  ... -2.3998954   1.7706815
  1.8326031 ]"
321,The eagle is above the mountains,The eagle is near the mountains.,"[-0.10954458  4.968773    2.352008   ... -1.9407195  -1.0046233
  3.2219899 ]","[ 0.66275513  5.2506986   3.270663   ... -1.0065166  -0.17769833
  4.3035283 ]"
322,The hawk is over the field,The hawk is near the field.,[ 1.0092908  3.7034502  3.4312255 ... -2.112175  -1.0846529  5.236175 ],"[ 1.2058517   4.562781    3.5532076  ... -1.4080993  -0.19324721
  4.944636  ]"
323,The kite is in the sky,The kite is near the clouds.,"[ 1.5183495   4.8535895   4.646346   ...  1.3505608  -2.3018525
  0.39415002]","[ 3.4947493   4.8459506   4.7020254  ...  0.68190134 -2.8003802
  1.2783939 ]"
324,The balloon is above the houses,The balloon is near the houses.,"[-0.8388118   3.170707    2.6228397  ... -0.08576366 -3.9614155
  2.1341274 ]","[-0.4641517   3.0734441   4.043938   ...  0.93673706 -3.688526
  2.7334635 ]"
325,The cloud is over the mountain,The cloud is near the mountain.,"[ 0.58844644  2.7014883   3.0063038  ...  0.6905131  -2.0884495
  1.1123489 ]",[ 0.5604899  3.7989776  4.3894086 ...  0.6552191 -1.1698415  1.0600643]
326,The rain is over the city,The rain is around the city.,"[ 0.46583733  1.3271706   2.1307535  ...  0.2812465  -3.5439951
  1.653727  ]","[-0.621645    0.75285584  1.8659276  ...  0.1755018  -3.4935029
  0.7726745 ]"
327,The snow is on the ground,The snow is in the air.,"[-0.80642897 -1.4598026  -1.5329256  ... -3.0757837  -1.3742296
  0.65743613]","[-0.3811976  -0.9222919  -1.6277064  ... -2.0594258   0.11159629
  0.22739813]"
328,The ice is on the lake,The ice is near the lake.,"[-0.57932806  0.20774674  1.191902   ... -1.5558954  -0.74310327
  1.6109518 ]","[ 0.02903748  2.862292    2.6079085  ... -1.339525    0.23711224
  1.780768  ]"
329,The car is in the garage,The car is outside the garage.,[-1.1316067  3.961714   1.1686662 ...  1.244969  -1.0914637  2.6438847],"[ 1.6694595   2.0528731   2.069615   ...  0.92497253 -2.628259
  1.6224182 ]"
330,The bus is at the stop,The bus is near the stop.,"[-1.6881946  -1.2742121   2.6165369  ... -0.11452287 -3.7772648
  0.32922474]","[-0.12908353  1.4062214   3.6871243  ...  0.8026357  -3.0413032
  0.35698122]"
331,The train is on the tracks,The train is near the tracks.,[-1.5104084  0.7936732  2.7550545 ...  0.594684  -4.1233473  1.0107678],"[ 0.75920886  2.552723    3.3688698  ...  0.6069239  -3.0153234
  2.1106346 ]"
332,The boat is on the water,The boat is near the shore.,[-3.2304478  1.7853583  0.9957433 ...  0.9655792 -1.63209    1.3871669],"[-0.02331047  2.299493    3.3318076  ...  1.7081283   1.7293661
  2.2603707 ]"
333,The submarine is under the sea,The submarine is near the surface.,[-2.8027372  6.702683   3.5261898 ...  1.0310254 -2.5685718  0.3146541],[-2.401298   6.362803   5.151553  ...  1.2151741 -2.6688695  0.1786245]
334,The airplane is above the airport,The airplane is near the airport.,"[-0.1706842   3.1960146   3.3034658  ... -0.4337544  -2.433837
  0.95484596]",[ 1.3643856  3.5843666  4.7544    ...  0.2590481 -1.747465   1.932283 ]
335,The helicopter is over the city,The helicopter is near the city.,"[-0.33091244  2.7816947   1.6206304  ...  0.27132407 -3.9444878
  1.8878183 ]","[ 0.11382376  4.2377477   2.9908485  ...  0.39417666 -2.6678948
  1.2512208 ]"
336,The rocket is in space,The rocket is near the Earth.,"[-1.3671507   5.999865    3.5774822  ...  0.12954888 -3.260491
  2.4806247 ]","[-2.725397    5.984386    5.5663476  ...  0.12300614 -3.5084977
  3.9219594 ]"
337,The satellite is orbiting the Earth,The satellite is above the Earth.,"[-0.5250723   3.1396108   3.0353167  ...  0.37274817 -7.3384933
  3.2197928 ]",[-2.1901813  4.7025886  5.510676  ... -1.0789284 -5.214473   2.9168372]
338,The comet is near the sun,The comet is far from the sun.,"[-3.262868    3.5555458   0.56590134 ...  0.30509427 -3.1521282
  3.0822146 ]","[-1.3478632   2.55895     0.742777   ...  0.34366322 -2.5897262
  1.8506153 ]"
339,The asteroid is in space,The asteroid is near the Earth.,"[-3.891067    2.8425734  -1.1428319  ... -0.14045915 -0.9379145
  1.3019359 ]","[-5.790404    3.5567605  -0.17705767 ... -0.0184803  -1.2235392
  3.0697372 ]"
340,The planet is in the solar system,The planet is far from the sun.,"[-3.9824193   1.1596202   1.205658   ...  0.9605428  -0.58953637
  2.847786  ]",[-2.5575004  1.9818029  1.3298004 ...  0.3317616 -1.2525283  2.2736907]
341,The galaxy is in space,The galaxy is near another galaxy.,[-2.748319   1.3779237  2.106799  ... -0.9790222 -1.5802249  1.836127 ],"[-3.2143803   0.17683505  2.110911   ... -0.13750623 -1.7025889
  2.6373405 ]"
342,The sun is in the sky,The sun is behind a cloud.,[-2.0088596  3.912381   3.3917809 ...  1.1552675 -3.6803892  2.7814271],[-1.1718436  1.5690079  3.6273286 ...  1.6454364 -5.230594   1.7413275]
343,The moon is in the night sky,The moon is behind clouds.,"[-2.0257306  -0.04632892  2.5792015  ... -1.962968   -3.5907571
  1.6479353 ]","[-0.26065096  1.9857912   2.499156   ... -1.0352952  -4.371475
  1.4275656 ]"
344,The stars are in the night sky,The stars are behind clouds.,"[-2.0341556  -0.4007988   2.3023355  ...  0.18245755 -2.8144593
  1.1104106 ]",[-0.7893173  1.2554601  1.1311609 ...  1.1172199 -4.307451   0.8436477]
345,The planets are in the solar system,The planets are scattered throughout the solar system.,[-2.1234517 -1.716056   0.7296845 ...  0.7504331 -1.4575893  1.6725091],"[-1.8357705  -2.4879217  -0.25986367 ...  0.7072685  -2.0880518
  2.144194  ]"
346,The comets are in the solar system,The comets are outside our solar system.,"[-0.8728981  -0.72344375  0.59698755 ...  1.0911142  -0.6139189
  1.3159226 ]","[-0.11223456  0.07845492  0.790773   ...  0.9621228  -2.6131296
  1.1345377 ]"
347,The meteor is in space,The meteor is entering the atmosphere.,[-1.1669865  4.3133636  1.9062485 ... -0.2972892 -2.2380676  2.6258194],[-1.6482385  5.136714   1.741215  ... -0.554021  -3.5529687  2.5166028]
348,The astronaut is in space,The astronaut is near the space station.,"[ 1.1576984   5.2374983   2.7176402  ... -0.08367326 -1.1203527
  1.0306302 ]",[ 0.8583214  5.0946927  3.6656752 ... -0.0770308 -1.1201359  2.1563382]
349,The space station is in orbit,The space station is near the Earth.,"[ 0.99758583  1.2215384   1.4272996  ...  0.18630236 -4.297312
  0.53224903]","[-0.5258747   2.6122293   2.724629   ...  0.38511848 -3.1024554
  2.0030887 ]"
350,The rocket is launching,The rocket is on the launchpad.,"[-0.6671848   5.771232    3.856359   ...  0.43641534 -4.4482756
  3.2202377 ]","[-4.144773    4.0117693   4.198693   ...  0.35017407 -4.392166
  2.5333593 ]"
351,The spaceship is traveling through space,The spaceship is near a planet.,"[-0.62810636  3.1591108   1.061242   ...  0.16582988 -4.086704
  0.43407795]",[-2.1971858  2.80023    2.5824645 ...  1.3199126 -2.9635434  1.2064053]
352,The shuttle is landing,The shuttle is above the runway.,"[-0.7173517   4.157366    4.605642   ...  0.22200629 -4.384646
  0.91713685]","[-1.3878521   3.778817    4.8467555  ...  0.36597514 -3.8801782
  0.9580988 ]"
353,The satellite is transmitting data,The satellite is receiving data.,[-2.7376688  5.344649   2.7783735 ... -0.6534216 -5.6505914  2.9147274],"[-3.3295      6.002438    4.0819087  ... -0.51833564 -4.684393
  3.4750836 ]"
354,The telescope is observing space,The telescope is pointed elsewhere.,[-3.0853946  3.2186322  4.4864373 ... -1.1189169 -3.4628365  2.35715  ],[-2.280328   3.0602276  4.45236   ... -2.0496917 -1.6373783  2.2880967]
