,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
225,They may go to the party., They are likely to go to the party.,"[ 0.47518954  1.7743475   1.5877184  ... -0.50299966 -2.125548
  3.245121  ]","[-0.59548247  3.6315393   0.98873013 ... -0.07090627  1.4577186
  2.3972502 ]"
226,We may have some leftover pizza., We might have some leftover pizza.,"[-2.485212   -0.8099913   1.0133219  ... -0.09513269 -3.1498883
  1.0112944 ]","[-1.6786741  -0.04324714  1.1092422  ...  0.24072525 -2.367241
  1.0942177 ]"
227,The dog can jump high., The dog is able to jump high.,"[ 2.4545953   6.128099    2.0957878  ... -0.26796636 -2.230295
  3.9135065 ]","[ 1.7132123   6.2777915   1.4124913  ... -0.50072825 -0.71989775
  3.1055677 ]"
228,It may snow tomorrow., It is possible that it will snow tomorrow.,"[ 0.07867678  1.356034    1.0796068  ... -1.0679035  -2.986258
  3.3248703 ]","[-1.8823051   3.7702827   1.4670355  ... -0.4521879  -0.02307288
  1.6798282 ]"
229,He can play the guitar well., He is a skilled guitarist.,"[ 2.4296951   9.58071    -0.20075552 ... -0.8646361  -0.7935848
  3.4165447 ]","[ 1.3277289   7.698667    1.017228   ...  0.39518523 -0.66646165
  3.8376858 ]"
230,She may finish the project early., She is expected to finish the project early.,[ 0.3952286  2.680511   2.4815013 ... -1.0189664 -3.7197335  4.2277308],[-0.4187619  2.5261965  1.4379704 ... -1.0859329 -1.5240271  4.208425 ]
231,They may need help with the project., They could use some help with the project.,"[-0.8601376   2.857571    0.8637178  ...  0.04013139 -2.7368984
  1.6506743 ]","[ 0.48331106  1.949252    0.81666523 ...  0.33574975 -0.7470923
  1.0902026 ]"
232,We may travel to France next summer., We are considering traveling to France next summer.,"[ 0.08318782  1.0708106   2.0022552  ... -1.3761216  -1.7745843
  3.3809738 ]","[ 0.6218449   0.645448    1.627718   ... -2.5697937  -0.19615978
  3.0322022 ]"
233,The movie can be very funny., The movie is expected to be very funny.,"[-0.5188833   2.0910547   0.40912458 ... -0.77537197  0.24697746
  3.8806741 ]","[-3.2878256   1.4247856  -0.12912172 ... -0.8195974   1.0210742
  3.0144536 ]"
234,It may rain later this afternoon., There's a chance of rain later this afternoon.,"[-0.21451975  0.6827868   2.108536   ... -1.1641122  -3.8903034
  2.1720755 ]","[-0.69572556 -0.9171196   2.0543804  ... -0.75026    -2.212399
  2.1904848 ]"
235,He can speak multiple languages., He is multilingual.,"[-0.55929345  6.9689584   0.8441387  ...  0.13917299 -1.2213401
  4.296209  ]","[ 0.27205503  6.3924494   2.0611577  ...  0.08034891 -0.843787
  5.522855  ]"
236,She may buy a new house soon., She plans to buy a new house soon.,[ 1.0409801  2.5871067  1.8161855 ... -0.9418899 -3.935744   2.1297555],"[ 1.2934126   2.582395    0.55710727 ... -1.3741269  -2.8875399
  1.8777885 ]"
237,They may get married next year., They are considering getting married next year.,"[-0.00628175  3.3989315   1.5180825  ... -1.9548458  -1.8941307
  2.9368641 ]","[-0.44203782  2.8374965   0.501432   ... -2.30357    -1.5333016
  1.6169711 ]"
238,We may eat out tonight., We are thinking of eating out tonight.,"[-2.0161073   0.9459947   1.1699535  ... -0.60349935 -3.8755753
  3.2669113 ]","[-1.8861759   0.7533982   0.01324135 ... -1.8683966  -3.9367568
  2.7435632 ]"
239,The concert can be sold out., The concert might sell out.,"[ 0.15480927  0.22082649  1.0007249  ... -0.7330963  -1.8393548
  2.998589  ]","[-0.29232994 -1.1681523   1.3884472  ... -0.44022655 -3.189595
  2.183812  ]"
240,It may be a warm day tomorrow., Warm weather is predicted for tomorrow.,"[-1.8123678  -2.4435465   1.0422549  ... -0.11095292 -1.8679333
  2.7125244 ]","[ 1.8608221   0.595868    2.0590627  ... -1.5365211   0.11085384
  2.3266869 ]"
241,He can finish the report by tomorrow., He is expected to finish the report by tomorrow.,"[ 1.2165191   3.2957253   1.6763837  ... -0.7528511  -0.79725415
  3.9666638 ]","[-0.45996016  2.5141072   1.3446972  ... -0.9735875   0.14768204
  4.258174  ]"
242,She may feel better after a good night's sleep., She hopes to feel better after a good night's sleep.,"[ 1.2389823   4.0247927   2.692582   ... -0.19944611  0.64064085
  3.1982577 ]",[0.95469755 4.9647765  2.2772133  ... 0.29821083 1.6663002  2.9528418 ]
243,They may decide to go to the beach., They are contemplating a trip to the beach.,"[-0.2440239   3.2079177   1.9224257  ... -0.20501578 -0.99901515
  3.9631495 ]","[-0.65275794  1.7212766   2.2665606  ... -1.3069717  -0.6130439
  2.3546267 ]"
244,We may need some more time to complete the task., More time is required to complete the task.,"[-1.7103944   2.1467974   0.8151499  ...  0.00777899 -2.6813498
  0.49216014]","[-1.3705213   3.3256528   2.077028   ... -0.06053125  1.0436716
 -0.1338312 ]"
245,The meeting can be rescheduled., The meeting could be rescheduled.,"[ 2.380167   -1.2213346  -0.76920986 ...  0.6098484  -0.8237854
  1.9580716 ]","[ 2.3107374  -1.1238512  -0.6533767  ...  1.2018918  -0.46520588
  1.7765095 ]"
246,It may be sunny and warm this weekend., Sunny and warm weather is forecast for this weekend.,[-1.4927908 -3.8379457  1.3815856 ... -0.543149  -1.4340717  3.784257 ],[ 0.7190332 -3.5243697  1.6259311 ...  0.1522402  0.4801159  2.8234234]
247,He can lift heavy weights., He is capable of lifting heavy weights.,"[-0.45976627  8.283637    2.8166542  ...  0.50459623  3.02588
  4.642039  ]",[0.7559284  9.033632   2.4355466  ... 0.09731697 2.8005695  2.7383072 ]
248,She may win the race., She has a chance of winning the race.,[ 2.9953358  5.502006   0.7692261 ...  1.3450116 -2.2554839  4.49978  ],"[ 3.5327885   5.1750693   0.8449881  ...  0.71627516 -1.107134
  3.2346878 ]"
249,They may not be able to attend the meeting., Their attendance at the meeting is uncertain.,[-1.9081526  2.8330173 -0.750946  ...  0.7414236 -3.048225   3.6839721],"[-1.2515355  -0.9803415   0.15145278 ... -0.58206874 -1.0359063
  3.0552673 ]"
250,We may have to postpone the meeting., Postponing the meeting is a possibility.,"[-2.449453   -0.61301726 -0.6614689  ...  0.6668364  -3.672571
  2.6714735 ]","[-1.341409    0.6634098   0.728782   ... -0.21292385  2.1098623
  1.2144461 ]"
251,The plane can be delayed., The plane might be delayed.,"[ 1.4225048   3.1307862   0.7426881  ... -0.81204003 -2.5642138
  2.7805326 ]","[ 0.34799972  2.3818998   0.21576627 ... -0.91934556 -2.7156227
  2.3513649 ]"
252,It may be a difficult task., The task is expected to be difficult.,"[-2.9767776  -0.22614574  0.05171636 ...  0.05988565 -1.6328734
  2.1058815 ]","[-0.37683183  4.1928644   1.2430867  ...  0.04887339 -0.04985619
  3.053849  ]"
253,He can cook a delicious meal., He is a skilled cook.,"[ 0.4181828   5.858888    0.1288625  ... -1.0428035  -0.26340798
  2.3786283 ]","[ 1.3726228   7.3324547   0.5430005  ...  0.72481936 -1.0269355
  4.0990486 ]"
254,She may be interested in the job., She is a potential candidate for the job.,"[ 0.9715462   3.3934546   2.5605567  ...  0.39939994 -4.6391044
  2.0307708 ]","[ 2.2866      5.8733506   2.0129406  ... -0.11835619 -1.4435863
  3.5589476 ]"
255,They may have already left., It is possible they have already left.,"[-1.327629    3.9924247   0.64132893 ...  0.5474271  -1.9162899
  1.6741053 ]","[-2.7674422   4.940096    0.98301184 ... -0.1269486  -0.03636543
  0.5926518 ]"
256,We may be stuck in traffic., There is a risk of being stuck in traffic.,"[-3.729871   -0.45252535  0.2989492  ...  1.0294374  -3.6191695
 -0.4078485 ]","[-2.2913048   3.427489    1.386932   ...  0.16091555 -0.8177062
 -0.18483819]"
257,The store can close early today., The store might close early today.,"[ 0.7041898  -2.1591413   3.7856317  ... -0.14891472  0.09014696
  1.4910136 ]","[-0.49572262 -3.9944022   3.2337692  ... -0.40677327 -2.8359826
  1.570297  ]"
258,It may be a long and difficult journey., A long and difficult journey is anticipated.,"[-2.8419025  -0.75673234 -0.8556949  ... -0.60405093 -1.3388071
  0.97741467]","[-2.295548   -0.2024405   1.3156435  ... -0.28207862  0.21903193
  1.4149487 ]"
259,He can play the piano beautifully., He is a talented pianist.,"[ 2.0720365   9.604769   -0.5972772  ... -1.5341599   0.09584646
  2.5785873 ]","[ 1.7879851   7.521854    0.48889714 ... -0.6431252  -0.07971532
  4.079143  ]"
260,She may go to the library later., She is planning to visit the library later.,"[ 0.73181325  3.1317208   3.6549313  ...  0.09341604 -2.7226286
  3.1150467 ]","[-0.9471372   1.9333453   1.9801979  ... -0.37905517 -2.022398
  2.699597  ]"
261,They may move to a new apartment., They are considering moving to a new apartment.,[ 1.6282661  1.3411005  2.1192663 ... -0.889063  -2.647271   1.6392689],"[ 1.0181062   0.36417118  1.6253817  ... -1.1446065  -3.1198318
  0.76575404]"
262,We may have a party next weekend., We are considering having a party next weekend.,[-0.8820977 -1.5412513  1.5629222 ... -1.4346601 -4.209608   2.3839478],"[-0.97214085 -2.4273937   1.4054767  ... -1.8124223  -3.003703
  2.101     ]"
263,The game can be very exciting., An exciting game is anticipated.,"[ 1.7354404   1.9931772  -1.2490302  ... -0.84568447  0.42676696
  3.4386806 ]","[-1.0293193  -0.37901545  0.18340309 ... -0.8927339   0.75493747
  4.0677176 ]"
264,It may be cold and windy tonight., Cold and windy weather is likely tonight.,[-2.0758235 -2.7374399 -1.3790613 ... -1.2714183 -3.0877824  1.2891387],"[ 0.5109604  -0.49973974 -1.2824854  ... -1.4197     -0.17456727
  1.4939737 ]"
265,He can learn new things quickly., He is a quick learner.,[1.4573528  7.2103233  1.5476731  ... 0.12065717 0.498522   2.2583373 ],"[ 2.3849797   6.8812165   0.42271605 ...  0.3314557  -0.41024378
  3.2223084 ]"
266,She may be in the mood for Italian food., She is considering Italian food.,"[ 0.19808371  2.648121    3.0703645  ...  0.5076326  -2.884892
  3.391807  ]","[ 0.5223873   3.39225     2.8212564  ... -0.48515263 -3.6601589
  3.7248135 ]"
267,They may be able to help us., It is possible that they can help us.,[-1.0152553  7.1402225  0.9549514 ...  0.8632126 -1.0089797  2.425012 ],"[-2.7205763   6.9299254   0.60023206 ...  0.32775798  0.72629356
  0.6048994 ]"
268,We may not be able to finish the project on time., We might not meet the project deadline.,"[-1.3152939   0.63516116 -0.1452493  ... -1.1551045  -4.406133
  2.6906974 ]","[-0.90187097  0.7211341  -1.0203815  ... -0.32436892 -4.289913
  2.3516586 ]"
269,The train can be delayed due to bad weather., Train delays are possible due to bad weather.,"[-0.21401533  2.2674456   2.0259962  ... -0.29785246 -4.1015787
  1.8577372 ]","[-0.7235738  -0.8268389   1.4904667  ... -2.1294649  -5.2012334
  0.07773095]"
270,It may be a busy day., A busy day is expected.,"[-2.3696072  -3.3287323  -0.32238117 ... -0.66574615 -1.2771636
  1.2629907 ]","[-0.3130236  -4.1809926   1.8771964  ... -0.34455726  0.57666516
  2.1025612 ]"
271,He can fix that broken appliance., He is capable of repairing the appliance.,"[ 2.8270533   7.5761156   1.1105219  ... -0.93558306  0.35598907
  1.9958149 ]","[ 2.1107235   9.052586    1.3990425  ... -0.10274987  0.42560938
  1.7996318 ]"
272,She may need a new pair of shoes., She is considering purchasing new shoes.,"[ 1.4517951   3.6561902   2.8870068  ... -0.99167675 -3.7840796
  0.29738092]","[-0.01242642  2.9655652   2.4610484  ... -0.9605521  -3.1839383
  1.2158941 ]"
273,They may not be available next week., Their availability next week is uncertain.,"[-0.79840887  0.48086965  0.61601925 ... -0.42151505 -3.2044845
  2.8787436 ]","[ 0.51989794 -1.9847605   1.1109297  ... -0.7530474  -0.85995895
  1.5443143 ]"
274,We may decide to stay home tonight., Staying home tonight is a possibility.,"[-0.2447797   2.152536    0.03988861 ...  0.71821344 -3.0208657
  2.7517614 ]","[-0.42273042  0.12340409 -0.04907744 ... -0.3678164   2.0600517
  1.1781926 ]"
275,The meeting could end earlier than expected., An early conclusion to the meeting is possible.,"[ 0.585191   -4.096338   -0.9945667  ...  0.01521588 -0.9133105
  2.6043282 ]","[-0.3441077  -0.8394158  -1.0016458  ... -0.43913892  2.1094322
  2.9811196 ]"
276,It may be a record-breaking heat wave., A record-breaking heat wave is possible.,"[-3.8572726  -2.741067   -0.0437643  ... -0.16995859 -1.5578285
  2.767707  ]","[-3.0081954   0.5045665   1.1180297  ... -0.69066167  0.11389191
  4.1725764 ]"
277,He can speak several dialects of the language., He demonstrates fluency in various language dialects.,[-1.3081902  2.994904   1.5885358 ... -0.6814657 -2.7366595  4.484994 ],"[-0.05210223  1.2464565   0.8489567  ... -1.3764255   0.12579268
  3.3062878 ]"
278,She may feel better with some rest., Rest is recommended for her well-being.,"[ 1.5106939   5.72517     2.475943   ... -0.47242388  1.0149738
  1.3522125 ]",[ 2.7240632  3.393991   2.3952343 ... -2.102118   5.237733   2.9325414]
279,They may reconsider their decision., A reconsideration of their decision is possible.,"[-0.01399076  4.1754875  -0.47352996 ... -0.80055743 -3.6923816
  3.3331792 ]","[-1.1047764   0.95388246 -0.04632287 ... -1.0156268   0.3183756
  1.6516159 ]"
280,We may not have enough seats for everyone., There may not be sufficient seating for everyone.,"[-3.6408963   0.8916784  -0.15331142 ... -0.21455982 -4.0759273
  2.1080909 ]","[-2.9779003   1.1287724   0.70492285 ...  0.04886114 -0.6769908
  2.3642073 ]"
281,The concert may be postponed due to inclement weather., The concert is likely to be postponed due to the poor weather conditions.,"[-1.0274574  -1.1327164  -1.72403    ...  0.87041795 -5.0938754
  0.80204016]","[-1.8408583  -1.4536363  -1.5452131  ...  0.8328653  -3.8261774
  0.92830366]"
282,It may take longer than anticipated., Delays are likely.,"[-3.0475738   1.5263451  -0.04228633 ... -0.92619485  0.90279967
  1.4137977 ]","[-0.95469445  1.2163353   0.6898907  ... -1.4024475  -0.17636421
  1.2601591 ]"
283,He can run a marathon without stopping., He is capable of completing a marathon without pausing.,"[ 2.515296    7.259978    1.3586829  ...  0.00907946 -0.78629464
  3.9549937 ]",[2.379536   6.477403   1.7799159  ... 0.11989149 0.7859223  3.5625868 ]
284,She may write a book someday., Writing a book is a possibility for her.,[-1.0988568  3.386697   2.777727  ... -0.6929283 -1.8412936  3.1263862],"[-0.95083904  1.1892482   1.9427828  ... -0.89098686  0.09181758
  2.319354  ]"
285,They may visit us next month., A visit from them is anticipated next month.,"[-0.80891687  0.5470328   1.6645697  ... -1.398148   -4.1677637
  2.5576313 ]","[ 0.7595089   0.32497263  0.7853729  ... -2.5149958   0.7521161
  1.220195  ]"
286,The dog may bark., The dog might bark.,"[ 1.1393232   5.095483    1.3913367  ... -0.06843878 -1.2318687
  1.4998436 ]","[ 0.8103997   5.1970315   1.2283897  ...  0.40042964 -0.518795
  1.4148016 ]"
287,He can swim., He should swim.,"[ 0.7940006   9.933031    0.48540807 ...  1.0060477  -2.1080775
  5.3033247 ]","[-0.3678053   7.702589    0.4215355  ...  0.50143874 -0.37372127
  4.250654  ]"
288,She may eat the cake., She might eat the cake.,"[-0.47298956  5.1478143   3.0654275  ...  0.7490552  -2.2591975
  2.7077074 ]","[-0.18838787  4.991198    2.689059   ...  0.23238234 -0.999145
  1.9260942 ]"
289,They may go to the store., They could go to the store.,[-0.2867058  2.0286424  2.0087054 ... -0.3247901 -0.9095996  3.0464244],"[ 0.80990595  2.7408032   1.0371435  ... -0.10770248  1.9332731
  2.4593794 ]"
290,We may watch a movie., We might watch a movie.,[-1.7038168  1.6075794  0.8446455 ... -1.1731914 -3.505864   3.3654327],"[-1.095468    0.59917235  0.40103745 ... -1.4573423  -2.4638743
  3.1458616 ]"
291,The cat can jump., The cat is able to jump.,[ 4.1071267  4.9054127  3.2691255 ...  1.4044712 -3.1261978  5.8687754],"[ 4.3486934   5.746555    3.1288397  ...  0.89726216 -2.5266433
  5.3959837 ]"
292,It may rain later., It could rain later.,"[-0.17046586  2.1522765   2.5537534  ...  0.2556937  -4.8816996
  1.8391091 ]","[ 1.1782194   2.9249282   2.41966    ... -0.22541936 -2.2985318
  1.719833  ]"
293,He can sing well., He is a good singer.,"[ 0.12332676  9.94265     1.0743794  ... -1.6719153  -1.354991
  2.8877387 ]","[ 0.91534513  8.891552    0.99026966 ...  0.04432277 -1.3185517
  3.530536  ]"
294,She may be happy., She is likely to be happy.,"[-0.07761355  3.7324548   3.6543097  ... -0.1804147  -3.7873607
  3.6426272 ]",[0.2530252  6.098308   3.0234683  ... 0.07725774 0.21325073 3.744343  ]
295,They may leave soon., They are expected to leave soon.,[-1.1314805  3.5222347  1.2892215 ... -0.2964573 -2.1384404  3.151705 ],"[-1.067755    3.9883876   0.68744665 ... -0.86311877  0.7198139
  2.2673607 ]"
296,We may need help., We could use some help.,"[-1.1963146   4.9051967   0.86817294 ... -0.08497174 -3.148589
  0.95030195]","[ 1.3634526   4.2048163   0.27409387 ...  0.6683071  -1.0390364
  0.92364806]"
297,The flowers may bloom., The flowers are likely to bloom.,[ 2.173792   3.0165384  0.1951385 ...  0.7763312 -4.5153747  2.2003863],"[ 1.8655022   2.9435627  -0.44854712 ...  1.1257757  -2.5453053
  2.0167015 ]"
298,It may be sunny tomorrow., A sunny day is forecast.,"[-1.2216364   1.0094562   2.1970394  ... -0.04815322 -2.7019434
  3.1201036 ]","[ 0.35311761 -1.0903956   2.515673   ... -0.5444599  -0.61058927
  2.5308928 ]"
299,He can play the piano., He is capable of playing the piano.,"[ 3.003535   10.057183   -0.15315337 ... -0.48538557 -0.5744559
  3.0903223 ]",[ 2.3983893  9.168175   0.8612888 ... -1.4654914  1.181457   2.1838064]
300,She may finish the work., She should finish the work.,"[ 0.2689586   3.0199363   2.8468506  ...  0.11439063 -3.5256958
  4.2544665 ]","[-0.1972266   4.167853    1.7054182  ...  0.49877295 -1.4510417
  3.2446554 ]"
301,They may win the game., They have a chance of winning the game.,"[ 1.252966    5.5620875  -0.95175785 ...  0.31967512 -2.8840683
  5.039263  ]","[ 1.5293437   4.443553    0.11733866 ...  0.66997164 -0.2593599
  3.5174484 ]"
302,We may be late., We risk being late.,[-3.0747561  0.7404336  1.0887568 ... -0.6812476 -3.3692448  2.3021376],[-0.7073805  5.937204   1.1560547 ... -1.4648123 -1.8283451  1.7750231]
303,The car may be broken., The car might be broken.,[ 0.3589528  5.0206532  2.5201075 ... -0.6184171 -3.07357    3.0588143],"[ 0.04314551  4.9767647   2.2542717  ... -0.1761297  -2.4437115
  3.03632   ]"
304,It may snow tonight., Snow is possible tonight.,"[-0.07025187  0.7237837  -0.00783968 ... -1.5672433  -3.4627814
  3.266293  ]","[ 0.14797428 -0.16384211  0.6013216  ... -1.9107306  -0.53257954
  2.3421779 ]"
305,He can fix the computer., He is able to fix the computer.,"[ 3.1537917   9.257488    0.4531639  ...  0.3407055  -0.87148184
  2.47135   ]","[ 2.2136600e+00  8.1767073e+00  8.7187171e-01 ...  9.1527027e-01
 -4.7532767e-03  2.2134600e+00]"
306,She may buy a new car., She is considering buying a new car.,[ 1.7227927  4.510167   1.1195315 ... -1.0196244 -3.8218172  2.5174763],[ 1.5507971  3.60236    0.7917805 ... -1.7287456 -4.2734637  1.985573 ]
307,They may go to the beach., They are planning to go to the beach.,"[-0.09427023  2.1817467   2.657542   ... -0.22529827 -1.1769592
  3.7950284 ]","[-0.10214802  2.8523173   2.244133   ... -1.1886876  -0.5420084
  3.0327704 ]"
308,We may have dinner together., We are considering having dinner together.,"[-3.1967013   1.1763072   1.3243586  ... -0.30098033 -4.828442
  2.6020908 ]","[-2.2081738   0.31965834  0.60451704 ... -1.4010156  -2.9796119
  1.702444  ]"
309,The movie may be good., The movie could be good.,[-1.5259224  1.1531051  1.9314963 ... -1.0490938 -1.1465338  3.2353985],"[-0.09767958  2.132838    1.8769006  ... -1.0374917   1.6857864
  3.6511357 ]"
310,It may be a long trip., A long trip is possible.,"[-2.3717587  -1.5551212  -0.96698886 ... -1.1806372  -0.32315177
  1.4575485 ]","[ 0.11816738 -0.40071297  2.0288107  ... -1.289903    2.0461133
  1.4191575 ]"
311,He can speak Spanish., He is fluent in Spanish.,[-1.3196695  7.949529   2.2365158 ...  1.6084287 -1.2512653  4.057959 ],"[-0.6837259   5.4458065   2.6165497  ...  1.2303759   0.13143483
  5.0595055 ]"
312,She may feel better tomorrow., She hopes to feel better tomorrow.,[ 1.0561428  5.8962097  3.082195  ... -0.7607584 -1.2840794  2.4981983],"[ 0.89409035  7.97915     2.1333067  ... -0.14357054  0.6983655
  2.6697164 ]"
313,They may need more time., More time is needed.,"[-0.81129616  5.1647058   1.5450023  ... -0.16964287 -1.425086
  1.8836336 ]","[-1.8278768   3.6434548   3.631863   ... -0.60097724  0.977538
  0.03426407]"
314,We may be tired., We are likely to be tired.,[-2.0930595  0.9056374  2.1439195 ... -1.0800151 -3.5368888  2.446943 ],"[-1.8511025   3.2579734   1.9661338  ... -0.74616635  0.34915656
  2.582697  ]"
315,The project may be finished., The project should be finished.,"[ 0.38740432 -0.53710216  1.918984   ... -0.19996129 -2.6237886
  3.0062149 ]","[ 0.5212284   0.7707879   0.5240486  ... -0.5034358   0.17664748
  3.0402076 ]"
316,It may be a hot day., A hot day is anticipated.,"[-2.3324814  -2.130062    1.0009819  ... -0.17524473 -1.8823341
  2.8504844 ]","[-0.43905008 -0.32154128  3.1937172  ... -0.6573915  -0.5183235
  4.171742  ]"
317,He can run a marathon., He is capable of running a marathon.,[ 2.4734538  6.345161   0.6796146 ... -1.0616969 -2.2389896  4.5604753],"[ 1.7165602   7.480977    1.3501737  ... -0.92331904 -0.07737703
  3.5506096 ]"
318,She may win the award., She has a good chance of winning the award.,"[ 1.3655657   6.210015    1.3016151  ...  0.80887586 -2.5684054
  4.2370224 ]","[ 3.1121593   5.5401564   0.7078959  ... -0.04391041 -0.9576293
  3.2498848 ]"
319,They may get lost., There's a chance that they'll get lost.,[ 0.2691737  4.9644313  1.0633096 ... -0.4711848 -2.5348964  1.2497857],"[-1.633632    3.1055698   0.4659198  ... -0.2165552   0.4793542
  0.08011873]"
320,We may be early., There is a possibility of arriving early.,"[-1.6155403  -0.47300118  1.4589136  ... -0.68058336 -2.9239993
  2.5909646 ]","[-1.8099947   1.196958    1.7161132  ... -1.0843096  -0.03872671
  2.9092937 ]"
321,The food may be spicy., The food could be spicy.,[-1.6118895  3.833388   2.144816  ...  1.6359233 -3.524728   3.4377124],[0.61502343 3.910351   2.316898   ... 0.9121931  0.00987377 2.8868809 ]
322,It may be raining., It is possible that it is raining.,[-2.4769053  1.7448988  1.4433147 ... -0.0981719 -3.7848866  1.6182945],"[-3.4816732   4.061693    2.5771718  ... -0.27059934 -0.05665997
  0.2434293 ]"
323,He can play basketball., He is able to play basketball.,[ 1.4060992  9.770967   1.3777921 ... -0.3600955 -1.8597014  4.301638 ],"[ 1.2741734   8.395329    1.314922   ... -0.40864685  0.41925612
  3.7458978 ]"
324,She may go to the concert., She plans to attend the concert.,[ 2.2505434  3.403959   3.6318555 ... -0.3824206 -3.168112   3.6875165],"[ 0.32074112  2.9326832   1.5891001  ...  0.40442708 -1.9919031
  3.3183842 ]"
325,They may need a ride., A ride might be needed.,"[ 1.9016972   4.3260674   1.2080221  ... -0.14673121 -2.096038
  1.9509562 ]","[ 1.9944339   1.198352    1.4544978  ... -0.76698714  1.1043006
  1.6976552 ]"
326,We may be home soon., We hope to be home soon.,"[-2.642087    0.9803963   2.6525304  ... -0.15009801 -1.7707896
  2.671237  ]","[-0.52047217  5.380094    0.20305778 ... -1.0097378   0.46039137
  3.0247052 ]"
327,The meeting may be cancelled., The meeting could be cancelled.,[ 1.8053204 -2.059055  -1.99692   ...  0.5651787 -2.0757768  3.0038679],"[ 2.373478   -0.5935673  -2.2205226  ...  0.12413057  0.10515126
  2.6283553 ]"
328,It may be a long night., A long night is expected.,"[-2.7531495  -2.5888789  -1.164499   ... -0.36608633 -0.9319393
  1.3301004 ]","[-1.1573019  -2.0895255   1.1447582  ... -0.28484368  0.6115894
  0.342224  ]"
329,He can lift heavy objects., He has the strength to lift heavy objects.,"[-0.09383914  8.406051    3.3398383  ...  0.58721614  3.6969097
  4.3168683 ]",[0.27965868 7.9369974  1.1875253  ... 0.46789435 2.8382452  2.8550575 ]
330,She may be angry., She is likely to be angry.,"[-0.468175    5.522811    3.0676715  ... -0.04348172 -4.6656747
  4.1239557 ]","[ 0.03133183  6.753869    2.8170202  ...  0.15012841 -0.52760357
  3.9559903 ]"
331,They may not attend., Their attendance is not guaranteed.,"[-1.7915787   2.6375248  -0.21240692 ...  0.77596456 -3.3632042
  3.6981418 ]","[-0.81032324  0.97405416  0.37387395 ... -1.439027   -1.3235542
  1.9215163 ]"
332,We may change our minds., We are considering changing our minds.,"[-0.20601241  1.9655566   1.0953182  ...  0.1619068  -5.8352814
  0.90617925]","[ 0.23611364  2.0258873   0.04811227 ... -0.05957039 -3.5704634
  0.69521445]"
333,The store may be closed., The store might be closed.,"[-0.29407167 -2.3805492   4.408918   ...  0.4459062  -3.0137758
  0.10431784]","[-0.37454018 -2.1858346   4.0786366  ...  0.12179089 -2.277171
  0.9012482 ]"
334,It may be cloudy today., Cloudy weather is expected today.,[-2.5833654 -1.3953843  1.457149  ... -0.649687  -3.6483624  2.194798 ],"[ 0.44043046 -1.6689359   2.4674382  ... -2.5719926  -1.38476
  1.4607229 ]"
335,He can work from home., He is permitted to work from home.,[ 0.2757464  3.8533132  1.6591939 ... -0.2213596  0.0614773  3.5577857],"[ 0.23600978  3.609756    1.481478   ... -0.15652692  1.7678702
  2.9750571 ]"
336,She may need medication., Medication is advisable for her.,"[ 0.21068005  7.451599    1.8051277  ... -0.22446458 -1.6721604
  1.825497  ]",[ 1.6325951  7.1749387  0.4596229 ... -1.4258972  3.404948   1.9368798]
337,They may prefer a different option., A different option might be preferred.,"[-0.28687638  1.8189851  -0.52318776 ... -0.712121   -3.37791
  1.0971619 ]","[-0.5696202   1.3422318  -0.14677265 ... -0.8558349  -0.35204086
  1.5816153 ]"
338,We may have a late lunch., A late lunch is a possibility.,"[-3.2998447  -2.8671777   0.09562714 ... -0.67254514 -3.1943924
  2.957894  ]","[-2.1465237  -5.3624654   1.2678306  ...  0.72445905  1.6231846
  2.2655241 ]"
339,The phone may be ringing., It is possible the phone is ringing.,"[-2.0193899   4.4982514   3.1754818  ... -0.03393423 -1.9196016
  1.5690278 ]","[-3.4629083   4.3710527   2.9393725  ...  0.3236704  -0.17974445
  0.9436324 ]"
340,It may be too late to start now., Starting now might be too late.,"[-2.3109531   1.2174983  -0.0690217  ... -0.03519937  1.0373349
  1.6291604 ]","[-1.2881546   0.73583615  2.2849996  ...  1.56303     0.50096506
  1.8240473 ]"
341,He can cook various dishes., He possesses culinary skills.,"[-0.74196476  3.914511    0.82773083 ... -1.0954443  -1.2164371
  2.8193629 ]","[-0.28681064  5.9949403   0.29573607 ... -0.07312413  0.18064901
  4.531006  ]"
342,She may not be available., Her availability is questionable.,"[ 0.3963014   4.26745     0.61161107 ...  0.31648847 -3.4323215
  4.2464643 ]","[ 1.0257313   1.5246273   0.50865006 ... -1.5466186  -1.5101491
  1.3297384 ]"
343,They may have already eaten., It's possible that they've already eaten.,"[-1.4490913   3.7845948   0.9665659  ...  0.39665994 -2.476453
  2.142292  ]","[-3.3793447   3.311534    0.99472034 ... -0.38307002  0.3761339
 -0.09770877]"
344,We may need a taxi., A taxi might be necessary.,"[ 0.18156213  3.2753944   1.5665584  ...  0.01073312 -4.0166125
  1.4605393 ]","[ 1.8134502   1.9955829   1.8624738  ... -0.22913599 -2.1941063
  1.6375328 ]"
345,The flight may be delayed., A flight delay is possible.,[ 1.7446285  1.3550444  1.2161493 ...  1.3100271 -4.8109818  2.5844493],[ 1.1773211  1.092461   1.3200502 ... -1.2202637 -1.8779575  3.2326844]
