,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
238,The volunteer assisted the needy.,The volunteer assisted the needy.,"[ 4.0887256   4.7891965   3.1282384  ... -1.1049901  -0.69821614
  2.4258916 ]","[ 4.0887256   4.7891965   3.1282384  ... -1.1049901  -0.69821614
  2.4258916 ]"
239,The philanthropist donated generously.,The philanthropist donated generously.,"[ 1.7049544   3.627568    0.27268866 ... -1.6866285  -1.3835331
  0.5067813 ]","[ 1.7049544   3.627568    0.27268866 ... -1.6866285  -1.3835331
  0.5067813 ]"
240,The activist advocated for change.,The activist advocated for change.,"[ 0.02911655  7.2832985   2.3799675  ... -1.4166569  -4.2184544
  3.3558636 ]","[ 0.02911655  7.2832985   2.3799675  ... -1.4166569  -4.2184544
  3.3558636 ]"
241,He led the protest.,She led the protest.,"[-0.6905949   5.437966    0.34765097 ... -0.13842352 -1.9058065
  4.0336013 ]","[-0.18449493  4.180894    0.6062702  ...  0.45595664 -3.3638718
  3.6832917 ]"
242,The organizer planned the event.,The organizer planned the event.,"[ 1.2433088  -3.6242402   1.961528   ... -0.06824127 -1.5257916
  2.6346886 ]","[ 1.2433088  -3.6242402   1.961528   ... -0.06824127 -1.5257916
  2.6346886 ]"
243,The participant competed in the contest.,The participant competed in the contest.,[ 3.6719148  2.124886   0.5909205 ... -0.8997093 -1.4350969  2.7967057],[ 3.6719148  2.124886   0.5909205 ... -0.8997093 -1.4350969  2.7967057]
244,The winner accepted the award.,The winner accepted the award.,[ 1.9134833  6.631302   0.7067656 ... -0.1941877  1.8781881  3.984705 ],[ 1.9134833  6.631302   0.7067656 ... -0.1941877  1.8781881  3.984705 ]
245,The team celebrated their success.,The team celebrated their success.,"[ 1.8475285  -0.54535085 -0.70624113 ... -1.6714787  -1.738122
  5.8728595 ]","[ 1.8475285  -0.54535085 -0.70624113 ... -1.6714787  -1.738122
  5.8728595 ]"
246,The coach motivated the players.,The coach motivated the players.,"[ 2.4728224   5.2527356  -0.22546072 ...  0.23049474 -1.2368851
  4.843114  ]","[ 2.4728224   5.2527356  -0.22546072 ...  0.23049474 -1.2368851
  4.843114  ]"
247,The referee officiated the game.,The referee officiated the game.,"[ 2.0354805   0.64133304 -0.1538699  ... -0.40012008 -1.1818708
  7.437308  ]","[ 2.0354805   0.64133304 -0.1538699  ... -0.40012008 -1.1818708
  7.437308  ]"
248,The audience applauded the performance.,The audience applauded the performance.,"[ 0.8132363   3.5435674  -1.4394625  ... -1.0967175  -0.26187822
  3.7592795 ]","[ 0.8132363   3.5435674  -1.4394625  ... -1.0967175  -0.26187822
  3.7592795 ]"
249,He played the guitar.,She played the guitar.,"[-0.2005842   4.8072805  -0.23029096 ... -0.26434594 -0.51663935
  4.094784  ]","[ 1.1693256   3.5260754  -0.18838477 ... -0.02461972 -3.285729
  5.252054  ]"
250,The musician performed on stage.,The musician performed on stage.,"[-1.4705411   2.4958227  -1.4524289  ...  0.19760211 -1.1742383
  1.9812355 ]","[-1.4705411   2.4958227  -1.4524289  ...  0.19760211 -1.1742383
  1.9812355 ]"
251,The singer charmed the crowd.,The singer charmed the crowd.,"[ 0.45585087  1.7117064   1.2288853  ...  0.49997807 -1.0634139
  4.1029925 ]","[ 0.45585087  1.7117064   1.2288853  ...  0.49997807 -1.0634139
  4.1029925 ]"
252,The dancer moved gracefully.,The dancer moved gracefully.,"[ 1.6674474   0.28920045  0.59137964 ... -0.03266507 -0.7322907
  2.4897618 ]","[ 1.6674474   0.28920045  0.59137964 ... -0.03266507 -0.7322907
  2.4897618 ]"
253,The actor delivered a powerful speech.,The actress delivered a powerful speech.,"[-0.13644058  4.4126945   0.07585903 ...  1.3612207   0.84545463
  3.311298  ]","[-0.09061798  3.078719    0.6605321  ...  0.8286418  -1.3320724
  4.107701  ]"
254,The director filmed the scene.,The director filmed the scene.,"[ 0.40091738  0.6432534   1.4167746  ... -0.19862157  0.506545
  4.750042  ]","[ 0.40091738  0.6432534   1.4167746  ... -0.19862157  0.506545
  4.750042  ]"
255,The producer oversaw the project.,The producer oversaw the project.,"[ 0.01391884 -0.401788   -0.2207894  ...  0.94517076  0.23109327
  2.59124   ]","[ 0.01391884 -0.401788   -0.2207894  ...  0.94517076  0.23109327
  2.59124   ]"
256,The writer crafted a compelling story.,The writer crafted a compelling story.,"[-0.8112115  -0.17303059  1.3378135  ... -1.0352556   1.2731116
  1.1967572 ]","[-0.8112115  -0.17303059  1.3378135  ... -1.0352556   1.2731116
  1.1967572 ]"
257,He edited the manuscript.,She edited the manuscript.,"[ 0.3320058   3.1516042  -0.14652777 ... -1.3015082   0.86767864
  2.2196152 ]","[ 0.98703784  1.7912381   0.2750525  ... -0.77351373 -0.97546846
  2.1089015 ]"
258,The editor approved the changes.,The editor approved the changes.,"[ 2.2316482   2.496868    0.5740013  ... -0.9921629   0.40208474
  2.9761693 ]","[ 2.2316482   2.496868    0.5740013  ... -0.9921629   0.40208474
  2.9761693 ]"
259,The publisher released the book.,The publisher released the book.,"[-0.30663744 -1.8347231   0.6483194  ... -1.7610769   0.5441456
  2.9624083 ]","[-0.30663744 -1.8347231   0.6483194  ... -1.7610769   0.5441456
  2.9624083 ]"
260,The librarian assisted the patrons.,The librarian assisted the patrons.,"[ 0.4810982   3.7162316   1.0532396  ... -1.9194099   0.21608834
  4.84408   ]","[ 0.4810982   3.7162316   1.0532396  ... -1.9194099   0.21608834
  4.84408   ]"
261,The teacher graded the exams.,The teacher graded the exams.,"[-0.12289562  2.3561664   2.561865   ... -2.477974   -1.9594706
  2.1870658 ]","[-0.12289562  2.3561664   2.561865   ... -2.477974   -1.9594706
  2.1870658 ]"
262,The student completed their assignment.,The student completed their assignment.,"[ 0.10502543  2.3424032   0.8327329  ... -0.7867171  -1.2067174
  2.880946  ]","[ 0.10502543  2.3424032   0.8327329  ... -0.7867171  -1.2067174
  2.880946  ]"
263,The professor lectured the class.,The professor lectured the class.,"[-1.9252359   0.52403396  0.56530935 ... -1.4244305   0.5210221
  3.9095912 ]","[-1.9252359   0.52403396  0.56530935 ... -1.4244305   0.5210221
  3.9095912 ]"
264,The researcher conducted an experiment.,The researcher conducted an experiment.,"[ 2.099564    0.60455465  1.7298702  ... -0.626044   -2.0976737
  0.86253977]","[ 2.099564    0.60455465  1.7298702  ... -0.626044   -2.0976737
  0.86253977]"
265,The scientist analyzed the data.,The scientist analyzed the data.,"[-2.184326    4.025436    1.9861213  ...  0.39298654 -3.7163374
  2.8539562 ]","[-2.184326    4.025436    1.9861213  ...  0.39298654 -3.7163374
  2.8539562 ]"
266,The engineer solved the problem.,The engineer solved the problem.,"[ 2.9520714   5.1087146  -0.17690559 ...  0.19507365 -1.3736678
  1.8205637 ]","[ 2.9520714   5.1087146  -0.17690559 ...  0.19507365 -1.3736678
  1.8205637 ]"
267,The architect designed the building.,The architect designed the building.,"[-1.615244   -0.77432007 -0.17429303 ... -0.36081293 -1.7049066
  1.7324198 ]","[-1.615244   -0.77432007 -0.17429303 ... -0.36081293 -1.7049066
  1.7324198 ]"
268,The contractor oversaw the construction.,The contractor oversaw the construction.,"[ 0.43362904 -1.1270924   1.016608   ...  0.30597052  0.08280284
  1.9119095 ]","[ 0.43362904 -1.1270924   1.016608   ...  0.30597052  0.08280284
  1.9119095 ]"
269,The worker completed their task.,The worker completed their task.,[ 3.3576145  1.7003946  2.0343122 ... -1.3214151  1.1495528  2.4152102],[ 3.3576145  1.7003946  2.0343122 ... -1.3214151  1.1495528  2.4152102]
270,The manager delegated responsibilities.,The manager delegated responsibilities.,"[ 2.9730718   1.3917818   1.9356318  ... -0.27218527  1.4048295
  2.4479127 ]","[ 2.9730718   1.3917818   1.9356318  ... -0.27218527  1.4048295
  2.4479127 ]"
271,The employee completed their project.,The employee completed their project.,[ 3.34745    1.641311   2.3310447 ... -1.784851   0.7068315  2.2157493],[ 3.34745    1.641311   2.3310447 ... -1.784851   0.7068315  2.2157493]
272,He received a promotion.,She received a promotion.,"[ 2.1049376   7.54897     2.705358   ... -0.08474946  2.952147
  2.6947808 ]",[2.4587626  6.303253   3.2702026  ... 0.29958946 1.1115131  2.9608483 ]
273,The executive led the company.,The executive led the company.,"[-0.99945253  1.8573055   0.6739454  ... -0.9636329   0.28552863
  1.6547984 ]","[-0.99945253  1.8573055   0.6739454  ... -0.9636329   0.28552863
  1.6547984 ]"
274,The CEO announced the merger.,The CEO announced the merger.,"[ 0.18403621  2.0072105   2.333224   ... -1.0902921   0.4039012
  2.5615396 ]","[ 0.18403621  2.0072105   2.333224   ... -1.0902921   0.4039012
  2.5615396 ]"
275,He presented the proposal.,She presented the proposal.,"[-0.40598673  4.5907655  -0.6696384  ... -0.6050149   1.0278078
  2.9080575 ]","[-0.2966518   3.8042996  -0.03660564 ... -0.44123816 -0.91236055
  3.483086  ]"
276,The chairman opened the meeting.,The chairwoman opened the meeting.,[ 1.3941952  1.296405   0.4438807 ... -0.024891   4.409239   2.9582758],"[ 1.2212461   0.8957545   1.1082573  ... -0.18754707  3.2990623
  4.0838904 ]"
277,His colleague reviewed the document.,Her colleague reviewed the document.,[-0.7352273  1.2958606  1.2888328 ... -2.3209984  1.1405014  1.7347442],"[-0.36084548  0.9802509   1.7602743  ... -2.558068    0.78653985
  1.6229228 ]"
278,The supervisor gave feedback.,The supervisor gave feedback.,[ 2.920095   2.3923748  1.8742702 ... -1.5499504  1.8598309  0.6902348],[ 2.920095   2.3923748  1.8742702 ... -1.5499504  1.8598309  0.6902348]
279,The employee completed their work.,The employee completed their work.,[ 2.6983407  1.478253   2.5495849 ... -1.1529099  0.5944485  2.4291942],[ 2.6983407  1.478253   2.5495849 ... -1.1529099  0.5944485  2.4291942]
280,The client approved the design.,The client approved the design.,"[ 1.582358    0.56765205 -0.3261278  ... -1.7396798  -0.512551
  1.3307747 ]","[ 1.582358    0.56765205 -0.3261278  ... -1.7396798  -0.512551
  1.3307747 ]"
281,The customer paid for the service.,The customer paid for the service.,"[ 1.571273    3.6574886   2.6952434  ... -1.2590951   0.46432528
  3.41941   ]","[ 1.571273    3.6574886   2.6952434  ... -1.2590951   0.46432528
  3.41941   ]"
282,He purchased a new car.,She purchased a new car.,"[ 0.87766725  4.4333744  -0.08930105 ... -2.4581807   1.267581
  3.0673892 ]","[ 1.1184368   3.465181    0.19210486 ... -1.8831547  -0.7101472
  3.1860447 ]"
283,The buyer negotiated the price.,The buyer negotiated the price.,[ 1.2330546  2.839862   2.2966087 ... -1.8025504 -0.5519665  1.8510753],[ 1.2330546  2.839862   2.2966087 ... -1.8025504 -0.5519665  1.8510753]
284,The seller accepted the offer.,The seller accepted the offer.,[ 2.5612845  5.8714995  2.0427525 ... -0.9919794  1.1795335  1.5245671],[ 2.5612845  5.8714995  2.0427525 ... -0.9919794  1.1795335  1.5245671]
285,He rented an apartment.,She rented an apartment.,"[ 3.2035651  -0.01062164  1.961705   ... -2.8841217   0.03533859
  3.351852  ]","[ 3.736257   -0.59622526  2.1210155  ... -2.6902337  -1.1298689
  3.2276483 ]"
286,The landlord signed the lease.,The landlady signed the lease.,"[ 1.7124882   0.59394854  4.045976   ... -1.4931248   0.09013931
  2.5537922 ]",[ 1.2901475 -1.1470742  2.1608396 ... -1.4396361  0.5474933  2.227579 ]
287,The tenant moved in.,The tenant moved in.,"[ 3.7718055  -0.09955873  4.465337   ... -2.3606505   0.37871653
  4.098511  ]","[ 3.7718055  -0.09955873  4.465337   ... -2.3606505   0.37871653
  4.098511  ]"
288,He repaired the appliance.,She repaired the appliance.,"[ 2.339246    6.1164155   0.7863037  ... -0.9030098  -0.13557224
  2.5724475 ]","[ 2.4397526   6.0362864   0.7153736  ... -0.91225326 -0.57545257
  2.4565308 ]"
289,The technician fixed the problem.,The technician fixed the problem.,"[ 4.251164    5.9121222   1.1109282  ... -0.85194045 -1.7506698
  0.94317454]","[ 4.251164    5.9121222   1.1109282  ... -0.85194045 -1.7506698
  0.94317454]"
290,The mechanic inspected the vehicle.,The mechanic inspected the vehicle.,"[ 1.1705052   4.2180448   0.35766265 ... -1.7201086  -2.8727188
  3.3073032 ]","[ 1.1705052   4.2180448   0.35766265 ... -1.7201086  -2.8727188
  3.3073032 ]"
291,He drove to the airport.,She drove to the airport.,"[-0.27138618  4.010511    1.4636501  ... -0.6972265   2.662859
  3.1910613 ]","[ 0.24159528  3.1744301   1.7823133  ... -0.10477608  1.1283469
  2.841407  ]"
292,The pilot announced the flight delay.,The pilot announced the flight delay.,"[-0.5188314   1.5953249   1.3093756  ... -0.23796627 -1.1230148
  2.567953  ]","[-0.5188314   1.5953249   1.3093756  ... -0.23796627 -1.1230148
  2.567953  ]"
293,The passenger boarded the plane.,The passenger boarded the plane.,"[ 1.737205    5.523451    1.7578268  ... -0.7493839   0.87078077
  4.1258464 ]","[ 1.737205    5.523451    1.7578268  ... -0.7493839   0.87078077
  4.1258464 ]"
294,He checked his luggage.,She checked her luggage.,"[ 1.9941372   4.366285    2.3294034  ... -1.4054654   0.62837845
  0.07813781]",[ 2.3258157  3.135109   2.4926867 ... -1.0443919 -1.1309967  0.7818119]
295,The traveler arrived at their destination.,The traveler arrived at their destination.,[ 2.605888   2.3810916  3.1020484 ... -3.0278296  2.8162796  5.168776 ],[ 2.605888   2.3810916  3.1020484 ... -3.0278296  2.8162796  5.168776 ]
296,The tourist explored the city.,The tourist explored the city.,"[ 2.1288345  -3.2378542   0.8133599  ...  0.19151716 -0.99384475
  2.118439  ]","[ 2.1288345  -3.2378542   0.8133599  ...  0.19151716 -0.99384475
  2.118439  ]"
297,He took photographs.,She took photographs.,"[-2.3961272   4.1477566   1.5843267  ... -0.69393754  0.5356728
  2.8829122 ]","[-1.7913582   3.276764    1.9219986  ... -0.49130243 -1.0157737
  2.7968783 ]"
298,The photographer captured the moment.,The photographer captured the moment.,"[-2.761859    0.20770788  0.46980563 ...  0.35743347 -0.4112284
  2.4060323 ]","[-2.761859    0.20770788  0.46980563 ...  0.35743347 -0.4112284
  2.4060323 ]"
299,The artist painted a still life.,The artist painted a still life.,"[ 1.7363155e-01 -4.4086995e+00 -2.1410553e-01 ...  1.1576925e-04
 -1.1209493e+00  2.6949675e+00]","[ 1.7363155e-01 -4.4086995e+00 -2.1410553e-01 ...  1.1576925e-04
 -1.1209493e+00  2.6949675e+00]"
300,He sculpted a masterpiece.,She sculpted a masterpiece.,[-2.4466326  3.4945285  0.710089  ... -1.4423329  2.7805424  2.2941775],[-1.6059774  2.652036   1.3540101 ... -1.5048655  0.7906502  2.2749012]
301,The musician played a solo.,The musician played a solo.,"[ 0.9653072   1.9862949  -1.8986291  ... -1.755043    0.38114294
  2.5607364 ]","[ 0.9653072   1.9862949  -1.8986291  ... -1.755043    0.38114294
  2.5607364 ]"
302,The singer sang a ballad.,The singer sang a ballad.,"[ 1.0935614   2.456204    1.012622   ... -2.4305615  -0.15833671
  0.29238892]","[ 1.0935614   2.456204    1.012622   ... -2.4305615  -0.15833671
  0.29238892]"
303,The dancer performed a routine.,The dancer performed a routine.,"[-0.3506323  -0.79663277 -0.37432334 ...  0.022668   -2.7267694
  4.249537  ]","[-0.3506323  -0.79663277 -0.37432334 ...  0.022668   -2.7267694
  4.249537  ]"
304,He wrote a screenplay.,She wrote a screenplay.,"[-0.7392906   2.899966   -0.68293965 ... -1.7857873   1.4370747
  2.6226044 ]","[-0.3282927   2.3191426   0.07122393 ... -1.4379226  -0.30193394
  3.192269  ]"
305,The screenwriter adapted the novel.,The screenwriter adapted the novel.,"[-1.3096787   0.69142157 -0.77200335 ... -1.4010655  -0.16919996
  1.7225358 ]","[-1.3096787   0.69142157 -0.77200335 ... -1.4010655  -0.16919996
  1.7225358 ]"
306,The director filmed the movie.,The director filmed the movie.,"[ 1.0631224   1.5535263   1.678275   ... -0.5055397   0.38903847
  4.3768196 ]","[ 1.0631224   1.5535263   1.678275   ... -0.5055397   0.38903847
  4.3768196 ]"
307,He edited the footage.,She edited the footage.,"[-0.60134906  3.5085442   0.3666677  ... -0.50138485 -0.7283152
  2.8886504 ]","[ 0.00792802  2.3775423   0.7710035  ... -0.14250174 -2.4336934
  2.8960311 ]"
308,The producer finalized the project.,The producer finalized the project.,"[ 1.0107428  -0.47640073  0.68310624 ... -0.9556539   1.3192482
  1.8493954 ]","[ 1.0107428  -0.47640073  0.68310624 ... -0.9556539   1.3192482
  1.8493954 ]"
309,The actor delivered a memorable performance.,The actress delivered a memorable performance.,"[ 0.9733877   1.8152635  -0.00670588 ...  2.1741803   0.80625445
  3.329954  ]","[ 1.1418035   0.40195563  0.73490715 ...  1.7137233  -1.485419
  4.05777   ]"
310,The critic reviewed the play.,The critic reviewed the play.,"[ 1.9177567   0.4332774   0.26250324 ...  0.31356034 -0.1622463
  0.7198712 ]","[ 1.9177567   0.4332774   0.26250324 ...  0.31356034 -0.1622463
  0.7198712 ]"
311,The audience enjoyed the show.,The audience enjoyed the show.,"[ 0.97356695  0.57090473 -1.2926048  ... -1.4309989  -0.8947668
  3.7095964 ]","[ 0.97356695  0.57090473 -1.2926048  ... -1.4309989  -0.8947668
  3.7095964 ]"
312,He composed a symphony.,She composed a symphony.,"[ 0.9571814   2.6552675   3.0190818  ... -4.7935677   0.63624024
  1.9955944 ]","[ 1.1772314   2.4432156   2.5177257  ... -4.117025   -0.66108674
  2.0051818 ]"
313,The conductor led the orchestra.,The conductor led the orchestra.,"[ 1.6154728   2.6455555   1.046328   ... -0.30377328  0.9814916
  1.0009207 ]","[ 1.6154728   2.6455555   1.046328   ... -0.30377328  0.9814916
  1.0009207 ]"
314,The musician played a concerto.,The musician played a concerto.,"[ 0.65825945  2.9535816  -1.8865281  ... -2.6098793  -0.35189328
  2.6922908 ]","[ 0.65825945  2.9535816  -1.8865281  ... -2.6098793  -0.35189328
  2.6922908 ]"
315,He sang a beautiful aria.,She sang a beautiful aria.,"[ 0.71501905  4.1782966  -0.10148704 ... -3.1234515  -0.30415115
  0.38148177]",[ 1.2756892  3.2991486  0.359508  ... -2.0778427 -2.775026   1.8752648]
316,The opera singer captivated the audience.,The opera singer captivated the audience.,"[-0.04079165  3.4526598   1.1084367  ...  1.5042086   0.01400265
  4.425141  ]","[-0.04079165  3.4526598   1.1084367  ...  1.5042086   0.01400265
  4.425141  ]"
317,The ballet dancer executed a graceful pirouette.,The ballet dancer executed a graceful pirouette.,"[-0.5726975  -0.9091835   0.10850465 ... -0.29827496 -2.9676363
  4.0597863 ]","[-0.5726975  -0.9091835   0.10850465 ... -0.29827496 -2.9676363
  4.0597863 ]"
318,The choreographer created a new dance.,The choreographer created a new dance.,"[ 0.8024352  -2.1010273   0.09621435 ...  1.1139559  -0.67110485
  1.320771  ]","[ 0.8024352  -2.1010273   0.09621435 ...  1.1139559  -0.67110485
  1.320771  ]"
319,He designed a fashion collection.,She designed a fashion collection.,"[-0.69938046  0.08570401 -0.6699838  ... -2.8774288  -0.8345618
  1.6763111 ]","[ 0.29411128 -1.3204741   0.16438289 ... -2.9891567  -3.0241563
  2.0973423 ]"
320,The stylist dressed the model.,The stylist dressed the model.,[ 0.7975579  0.9615522 -0.4031547 ... -2.0228302 -1.475824   1.4469428],[ 0.7975579  0.9615522 -0.4031547 ... -2.0228302 -1.475824   1.4469428]
321,The tailor sewed a suit.,The seamstress sewed a suit.,"[ 2.4491315   1.2160103   2.0794852  ... -0.8577833   0.68254566
  0.35564992]","[ 4.0972829e+00 -3.1915754e-03  2.9917657e+00 ...  2.5466764e-01
  1.7894149e-02 -5.6024110e-01]"
322,He built a house.,She built a house.,[ 1.541361   3.1371741  1.5892367 ... -1.6306776  1.6435583  1.6425251],"[ 1.8092117   2.1828837   2.5287094  ... -1.4096496  -0.14680034
  1.6537561 ]"
323,The architect designed the blueprint.,The architect designed the blueprint.,"[-1.7095772   0.43393517 -0.1294409  ... -0.37849975 -0.9942822
  1.6020986 ]","[-1.7095772   0.43393517 -0.1294409  ... -0.37849975 -0.9942822
  1.6020986 ]"
324,The contractor oversaw the project.,The contractor oversaw the project.,"[ 0.42899415 -0.9194127   1.4281235  ...  0.7334433   0.14809403
  1.6084322 ]","[ 0.42899415 -0.9194127   1.4281235  ...  0.7334433   0.14809403
  1.6084322 ]"
325,The worker laid the foundation.,The worker laid the foundation.,[ 2.045015   3.223006   2.4944668 ... -1.1045471  0.9691088  1.6022428],[ 2.045015   3.223006   2.4944668 ... -1.1045471  0.9691088  1.6022428]
326,He painted the walls.,She painted the walls.,"[ 0.50304574 -1.1214306   0.6279061  ... -1.4443176  -1.19402
  0.8265834 ]","[ 0.65291154 -2.0547302   1.1539186  ... -1.168659   -2.3928552
  1.1610801 ]"
327,The painter mixed the colors.,The painter mixed the colors.,[-0.7709816  1.7565063  3.4316456 ... -1.9575577 -1.5387511  0.6857931],[-0.7709816  1.7565063  3.4316456 ... -1.9575577 -1.5387511  0.6857931]
328,The gardener planted flowers.,The gardener planted flowers.,[ 1.6027869 -0.6613668  1.8199729 ... -1.6017294 -2.2947972  1.9521394],[ 1.6027869 -0.6613668  1.8199729 ... -1.6017294 -2.2947972  1.9521394]
329,He watered the plants.,She watered the plants.,"[ 2.3353379   3.2236412   2.9639704  ... -0.75054026 -2.3330305
  5.0466814 ]","[ 2.206187    2.9480495   3.2003345  ... -0.23153293 -3.0628679
  5.00761   ]"
330,The landscaper designed the garden.,The landscaper designed the garden.,"[ 0.31225744 -3.8329291  -0.212788   ... -0.96383655 -0.1885918
  1.4778137 ]","[ 0.31225744 -3.8329291  -0.212788   ... -0.96383655 -0.1885918
  1.4778137 ]"
331,The chef prepared a gourmet meal.,The chef prepared a gourmet meal.,"[-2.5705223  -0.7022434   1.1070656  ... -0.93549997 -2.0915272
  0.5994031 ]","[-2.5705223  -0.7022434   1.1070656  ... -0.93549997 -2.0915272
  0.5994031 ]"
332,He baked a delicious cake.,She baked a delicious cake.,"[-0.21229804  4.234488   -0.1459616  ... -3.5576715   1.7560873
  4.3183103 ]","[-0.18005168  3.3190594   0.34503618 ... -3.4044397  -0.4181575
  4.483033  ]"
333,The baker decorated the pastries.,The baker decorated the pastries.,"[-0.7030719  -2.7588363   0.16669829 ... -3.6193326  -0.20695029
  0.6561489 ]","[-0.7030719  -2.7588363   0.16669829 ... -3.6193326  -0.20695029
  0.6561489 ]"
334,The waiter served the customers.,The waitress served the customers.,"[ 1.573884    2.8892658   3.9950726  ... -0.81096596  1.8793968
  2.3664186 ]","[ 0.6392339   3.1134999   3.5867121  ... -0.11287946  0.99228215
  3.435427  ]"
335,He took the order.,She took the order.,[0.5225355  4.955302   0.7187266  ... 0.02916546 2.2777343  3.1200402 ],[0.8044816  4.138348   0.8201221  ... 0.31070423 0.88081264 3.032944  ]
336,The cashier processed the payment.,The cashier processed the payment.,"[ 0.9842324   4.832934    1.4182602  ... -0.23112619  2.350172
  1.8225843 ]","[ 0.9842324   4.832934    1.4182602  ... -0.23112619  2.350172
  1.8225843 ]"
337,The customer left a tip.,The customer left a tip.,[ 2.6682236  3.110552   1.7094578 ... -1.5201502  2.9890435  3.5522034],[ 2.6682236  3.110552   1.7094578 ... -1.5201502  2.9890435  3.5522034]
338,The salesperson made a sale.,The salesperson made a sale.,"[-0.14953303  2.5300577   3.3462088  ... -0.986977    2.7283013
  1.1371553 ]","[-0.14953303  2.5300577   3.3462088  ... -0.986977    2.7283013
  1.1371553 ]"
339,The manager reviewed the sales figures.,The manager reviewed the sales figures.,[ 2.7767012 -2.4756298  2.8187625 ... -2.7033846 -2.2317235  2.5916104],[ 2.7767012 -2.4756298  2.8187625 ... -2.7033846 -2.2317235  2.5916104]
340,The employee received a bonus.,The employee received a bonus.,[ 3.0808475  3.5240867  3.3105853 ... -1.3818245  1.8852755  3.1915138],[ 3.0808475  3.5240867  3.3105853 ... -1.3818245  1.8852755  3.1915138]
341,The professor lectured on history.,The professor lectured on history.,"[-1.7279776   1.3608935   0.62584263 ... -1.9673517   0.09156135
  3.120068  ]","[-1.7279776   1.3608935   0.62584263 ... -1.9673517   0.09156135
  3.120068  ]"
342,He graded the exams meticulously.,She graded the exams meticulously.,[-0.919985   2.0077693  2.558761  ... -2.825031   0.206989   2.1964571],"[-1.0811466   1.6783767   2.4841363  ... -2.6388147   0.10761384
  2.0995314 ]"
343,The student aced the test.,The student aced the test.,[ 1.1227555  4.833051   1.3996048 ... -2.0371592 -1.3880291  2.0231216],[ 1.1227555  4.833051   1.3996048 ... -2.0371592 -1.3880291  2.0231216]
344,The teacher assigned homework.,The teacher assigned homework.,"[-0.03275788  1.5464777   2.9901175  ... -1.3026702  -1.1148126
  3.2982469 ]","[-0.03275788  1.5464777   2.9901175  ... -1.3026702  -1.1148126
  3.2982469 ]"
345,The principal addressed the students.,The principal addressed the students.,[-2.18388    2.6178112 -1.8439516 ...  1.0080243 -1.4687042  3.190423 ],[-2.18388    2.6178112 -1.8439516 ...  1.0080243 -1.4687042  3.190423 ]
346,He volunteered at the school.,She volunteered at the school.,[ 3.4022856  1.8335813  2.6771395 ... -0.6255047 -3.1088774  2.9457939],[ 4.202428   0.7769498  3.1793416 ... -0.0861553 -5.2605195  3.32903  ]
347,The counselor guided the student.,The counselor guided the student.,"[ 1.3776258   2.5452065   1.6480125  ... -0.4692309   2.686416
  0.75376254]","[ 1.3776258   2.5452065   1.6480125  ... -0.4692309   2.686416
  0.75376254]"
348,The librarian helped the patrons.,The librarian helped the patrons.,[ 0.8846758  4.780378   1.1626855 ... -1.1190188  1.4122916  4.337106 ],[ 0.8846758  4.780378   1.1626855 ... -1.1190188  1.4122916  4.337106 ]
349,He borrowed a book.,She borrowed a book.,"[-0.94231415  5.0404716   1.5987282  ...  0.24323109  4.333791
  4.038688  ]","[-0.27627647  4.1819816   1.9573091  ...  0.40586367  2.6446393
  3.9237201 ]"
350,The author signed autographs.,The author signed autographs.,"[-0.56480813  2.3119676   2.2105126  ... -1.8286399   0.3528876
  0.18658847]","[-0.56480813  2.3119676   2.2105126  ... -1.8286399   0.3528876
  0.18658847]"
351,The writer read an excerpt.,The writer read an excerpt.,"[ 0.19645973  1.2400665   0.37204933 ... -1.5442175   0.71814793
  3.4286811 ]","[ 0.19645973  1.2400665   0.37204933 ... -1.5442175   0.71814793
  3.4286811 ]"
352,He published a new novel.,She published a new novel.,[-1.7669897  0.9442226 -0.3359176 ... -1.9263991  0.7633829  3.0649579],"[-1.3263947  -0.2535498   0.15265696 ... -1.4870435  -1.249311
  4.0907407 ]"
353,The editor revised the manuscript.,The editor revised the manuscript.,"[ 1.4891189   0.7907842  -0.38271996 ... -1.1246548   0.8338291
  2.9341564 ]","[ 1.4891189   0.7907842  -0.38271996 ... -1.1246548   0.8338291
  2.9341564 ]"
354,The publisher marketed the book.,The publisher marketed the book.,"[-0.48271832 -0.41579327  0.5587817  ... -1.2481774  -0.4143107
  2.8565693 ]","[-0.48271832 -0.41579327  0.5587817  ... -1.2481774  -0.4143107
  2.8565693 ]"
355,He reviewed the book favorably.,She reviewed the book favorably.,"[ 0.7422486   0.28017232  0.2516212  ... -2.2273738   1.788819
  3.3869917 ]","[ 0.90843076 -0.40308565  0.5428865  ... -1.4575516   0.1435832
  3.4061751 ]"
356,The critic praised the author’s work.,The critic praised the author’s work.,"[ 4.2505736   1.4938107   0.622154   ... -0.2735469  -0.47211704
  1.0653095 ]","[ 4.2505736   1.4938107   0.622154   ... -0.2735469  -0.47211704
  1.0653095 ]"
357,The reader enjoyed the story.,The reader enjoyed the story.,"[ 2.0790002  -0.7838828   0.12407744 ... -1.2369252   1.2872103
  2.6367595 ]","[ 2.0790002  -0.7838828   0.12407744 ... -1.2369252   1.2872103
  2.6367595 ]"
